date,open,high,low,close,volume,oi
2023-01-02,42017.47,42443.88,41719.75,42146.15,212655,4178001
2023-01-03,42299.74,42838.89,41985.52,42524.68,151461,4104735
2023-01-04,42557.81,42816.33,41970.36,42228.88,103518,4230355
2023-01-05,42225.43,42487.15,41503.04,41764.76,235397,4358355
2023-01-06,41637.86,41877.18,40506.57,40745.89,261015,4591707
2023-01-09,40673.72,41744.62,40193.21,41264.11,139549,4463808
2023-01-10,41270.32,41689.79,40869.69,41289.15,220756,4405018
2023-01-11,41329.71,41924.14,40818.31,41412.74,155447,4099492
2023-01-12,41312.54,41640.62,40694.1,41022.19,178656,4142694
2023-01-13,41240.92,42175.98,40742.48,41677.54,209137,3771457
2023-01-16,41725.51,42550.73,41367.27,42192.49,148380,4242757
2023-01-17,42016.07,42428.86,41731.72,42144.51,117878,4325600
2023-01-18,42381.89,42834.47,41414.42,41867.0,506672,4672958
2023-01-19,41600.84,42078.73,41217.93,41695.82,179746,3698328
2023-01-20,41758.52,42265.17,40788.12,41294.77,218138,4214589
2023-01-23,41210.32,41680.83,40854.48,41324.99,375589,3996748
2023-01-24,41571.25,41818.72,40774.23,41021.71,341006,4265778
2023-01-25,41151.72,41575.5,40918.07,41341.85,120768,4141543
2023-01-26,41160.21,41414.81,40916.78,41171.38,153182,4819515
2023-01-27,41328.36,41730.15,40602.66,41004.45,852476,4603786
2023-01-30,40692.18,42258.06,40257.06,41822.94,205645,4348833
2023-01-31,41955.47,42445.25,40968.95,41458.74,297796,4333921
2023-02-01,41452.13,41861.92,40254.15,40663.93,228967,3837977
2023-02-02,40524.54,41240.03,40152.71,40868.2,176485,4319274
2023-02-03,41020.36,41470.73,39377.64,39828.01,202894,4227418
2023-02-06,39945.32,40266.85,39655.23,39976.75,226377,4475640
2023-02-07,40006.55,40905.43,39591.46,40490.34,234429,4167769
2023-02-08,40534.78,40769.2,40307.8,40542.21,53936,4093960
2023-02-09,40604.68,40939.48,40228.24,40563.04,152659,4581322
2023-02-10,40509.4,40945.98,39107.62,39544.19,133141,4187643
2023-02-13,39628.59,40047.41,39418.81,39837.63,78169,4383156
2023-02-14,39557.89,40492.8,39118.0,40052.92,125096,4469343
2023-02-15,39541.49,39963.38,39059.63,39481.51,65305,4786172
2023-02-16,39551.3,40952.43,39059.64,40460.78,480147,4353783
2023-02-17,40520.76,40994.73,39383.45,39857.43,153215,4409020
2023-02-20,39757.31,39975.32,38820.49,39038.51,152749,4558532
2023-02-21,38879.56,39218.04,37834.51,38172.99,285093,4625899
2023-02-22,38363.83,38613.94,37950.53,38200.64,174177,4161242
2023-02-23,38126.77,38818.53,37687.06,38378.82,272454,4392985
2023-02-24,38291.43,39086.65,37812.73,38607.96,165363,4683041
2023-02-27,38466.84,38756.54,38169.76,38459.47,187556,4053930
2023-02-28,38575.68,38865.9,37792.58,38082.81,164596,4502216
2023-03-01,37764.66,38914.48,37354.77,38504.59,303505,3692721
2023-03-02,38477.17,38766.19,37797.71,38086.73,148753,4360588
2023-03-03,37983.84,38184.93,37324.39,37525.48,55850,4261817
