date,open,high,low,close,volume,oi
2023-01-02,18498.05,18950.3,18365.79,18818.05,226145,4085291
2023-01-03,18828.09,19023.39,18656.84,18852.14,225087,4530722
2023-01-04,18845.46,19135.25,18644.63,18934.42,316481,3804381
2023-01-05,19007.24,19354.92,18844.79,19192.46,122546,4336961
2023-01-06,19155.64,19547.98,18992.94,19385.28,229287,4019841
2023-01-09,19351.52,19626.87,19250.29,19525.64,196247,4298428
2023-01-10,19460.64,19550.9,19364.25,19454.51,322421,4761405
2023-01-11,19512.38,19641.93,19114.01,19243.56,95207,4511976
2023-01-12,19260.66,19428.72,19170.31,19338.38,378922,4340520
2023-01-13,19356.56,19493.38,19102.13,19238.94,198881,4209630
2023-01-16,19253.03,19559.79,19126.12,19432.88,190275,4434737
2023-01-17,19360.19,19642.26,19210.08,19492.15,105272,4089070
2023-01-18,19525.19,19635.63,19230.24,19340.69,175005,4060734
2023-01-19,19361.82,19544.72,19229.21,19412.1,224943,4290723
2023-01-20,19506.19,19676.46,19411.28,19581.56,169288,4684609
2023-01-23,19609.9,19727.14,19516.52,19633.77,211507,4347507
2023-01-24,19582.33,19763.03,19292.27,19472.97,107290,4544823
2023-01-25,19453.44,19668.17,19328.95,19543.68,190697,4163023
2023-01-26,19662.46,19774.72,19523.45,19635.71,119904,4320010
2023-01-27,19557.01,19968.65,19421.35,19832.99,74775,3996791
2023-01-30,19742.87,20223.34,19528.57,20009.03,95098,4334660
2023-01-31,20025.72,20142.03,19700.59,19816.9,165923,4166215
2023-02-01,19913.81,20056.84,19575.15,19718.17,230751,4574521
2023-02-02,19723.64,19997.76,19592.86,19866.98,200230,4455618
2023-02-03,19789.56,19902.88,19387.55,19500.87,383758,4445877
2023-02-06,19645.2,19884.05,19447.43,19686.28,229196,4584177
2023-02-07,19636.6,19760.02,19389.05,19512.47,199963,4235372
2023-02-08,19567.2,19704.61,19294.58,19432.0,150104,3849584
2023-02-09,19527.18,19961.05,19331.61,19765.48,254193,3953947
2023-02-10,19772.63,19959.93,19576.57,19763.88,186773,4316171
2023-02-13,19804.88,19911.37,19602.65,19709.15,75156,4048455
2023-02-14,19807.97,19996.15,19596.82,19784.99,188347,4153137
2023-02-15,19700.51,20000.63,19476.65,19776.78,191664,4185645
2023-02-16,19829.95,19953.61,19526.03,19649.69,182327,4374659
2023-02-17,19728.67,19832.55,19614.37,19718.25,781667,3762360
2023-02-20,19802.49,20327.32,19690.15,20214.98,267519,4465441
2023-02-21,20187.62,20559.45,20068.33,20440.16,299911,4451222
2023-02-22,20472.25,20769.5,20258.02,20555.26,269788,4309675
2023-02-23,20516.55,20802.24,20343.02,20628.72,155855,4301578
2023-02-24,20588.11,20933.53,20484.29,20829.71,222305,4747428
2023-02-27,20765.29,21094.89,20661.68,20991.27,224521,4346454
2023-02-28,21036.47,21239.62,20598.71,20801.86,227294,3832253
2023-03-01,20816.56,21161.29,20590.68,20935.41,136055,4632721
2023-03-02,21016.24,21217.41,20760.26,20961.43,232462,4097987
2023-03-03,20794.7,21505.98,20675.86,21387.15,166701,4356570
2023-03-06,21324.13,21538.68,21135.35,21349.89,106884,4718229
2023-03-07,21374.51,21894.64,21149.03,21669.17,116474,4143878
2023-03-08,21796.69,22022.87,21174.8,21400.97,158807,4290382
2023-03-09,21350.79,21693.37,21148.43,21491.0,187578,4504833
2023-03-10,21364.65,21542.74,21154.1,21332.19,100637,4317424
2023-03-13,21291.98,21394.97,21031.77,21134.75,87972,4530910
2023-03-14,21131.15,21573.87,20894.94,21337.66,117162,4258978
2023-03-15,21398.24,21630.61,20882.46,21114.83,147184,4275832
2023-03-16,21197.35,21372.13,20920.72,21095.5,417030,4363082
2023-03-17,21148.62,21297.31,20793.17,20941.86,246761,4349117
2023-03-20,20937.83,21200.03,20787.57,21049.76,61937,4480065
2023-03-21,21200.58,21334.63,20995.8,21129.86,147382,4599540
2023-03-22,21083.65,21277.13,20437.44,20630.92,206712,4695831
2023-03-23,20633.74,20956.43,20486.46,20809.15,327492,4117299
2023-03-24,20853.52,20965.92,20566.9,20679.29,182829,4319628
2023-03-27,20646.73,21314.76,20501.21,21169.24,475782,4413287
2023-03-28,21156.2,21584.66,20967.99,21396.46,135808,4641522
2023-03-29,21445.98,21857.94,21231.93,21643.89,552632,4608539
2023-03-30,21581.72,21735.85,20933.74,21087.86,163278,4202613
2023-03-31,21078.14,21690.42,20913.1,21525.38,188678,4886925
2023-04-03,21517.85,21740.16,21333.47,21555.77,236672,4388075
2023-04-04,21723.83,21855.97,21121.95,21254.08,150114,4984098
2023-04-05,21316.81,21533.23,21131.75,21348.17,113062,4258470
2023-04-06,21303.48,21814.71,21167.72,21678.96,244102,4308270
2023-04-07,21738.57,21930.9,21124.65,21316.98,220297,4798271
2023-04-10,21246.5,21808.18,21029.32,21591.01,436270,4347411
2023-04-11,21626.93,21774.05,21385.98,21533.1,306404,4464213
2023-04-12,21419.9,21650.27,21187.38,21417.74,145035,4715169
2023-04-13,21475.56,21714.84,21097.85,21337.12,262443,4581503
2023-04-14,21331.24,21516.0,20976.76,21161.52,131137,4942587
2023-04-17,21073.16,21333.57,20967.6,21228.01,85812,4320613
2023-04-18,21263.64,21468.35,21101.56,21306.26,172045,4514574
2023-04-19,21372.53,21731.27,21214.48,21573.21,143813,4315189
2023-04-20,21607.44,22107.84,21430.05,21930.45,135249,4643246
2023-04-21,21949.7,22079.31,21742.44,21872.05,309846,4696455
2023-04-24,21782.55,22387.09,21549.86,22154.4,185586,4597119
2023-04-25,22220.69,22339.15,21771.89,21890.35,118770,4247312
2023-04-26,21738.24,22245.81,21557.27,22064.83,147366,4599295
2023-04-27,22029.27,22248.25,21598.4,21817.38,214244,4271418
2023-04-28,21967.6,22097.99,21570.4,21700.8,66259,4327234
2023-05-01,21606.66,22008.34,21463.76,21865.44,237953,4393573
2023-05-02,21741.69,21941.4,21506.53,21706.24,209917,4520771
2023-05-03,21644.94,22005.45,21482.36,21842.88,237631,4601350
2023-05-04,21876.0,22067.5,21320.72,21512.23,365309,4333697
2023-05-05,21511.69,21658.52,21215.02,21361.85,357306,4444761
2023-05-08,21438.07,21739.35,21204.51,21505.78,149322,4950652
2023-05-09,21514.44,22121.77,21275.6,21882.93,329173,4464888
2023-05-10,21811.59,21940.85,21493.55,21622.81,208356,4595510
2023-05-11,21694.53,22207.58,21506.47,22019.53,104140,4360282
2023-05-12,21983.19,22303.58,21780.57,22100.96,186199,5046817
2023-05-15,22155.13,22795.64,22036.37,22676.88,174464,4358451
