date,open,high,low,close,volume,oi
2023-01-02,1608.08,1620.23,1594.64,1606.79,214493,4283803
2023-01-03,1605.63,1616.55,1575.58,1586.51,132957,4475940
2023-01-04,1594.92,1621.34,1575.8,1602.21,112719,4424364
2023-01-05,1599.53,1641.46,1580.03,1621.96,124986,4238396
2023-01-06,1630.88,1648.95,1565.13,1583.2,145606,4162959
2023-01-09,1583.99,1603.36,1538.68,1558.06,111785,4132296
2023-01-10,1559.58,1577.85,1542.92,1561.19,216880,4368266
2023-01-11,1570.42,1587.25,1538.77,1555.6,288061,4312013
2023-01-12,1553.47,1572.69,1536.66,1555.88,90447,4409644
2023-01-13,1550.35,1563.7,1526.51,1539.86,202528,4304198
2023-01-16,1537.25,1570.86,1524.03,1557.64,179172,4457591
2023-01-17,1560.3,1584.39,1549.51,1573.6,237239,4301968
2023-01-18,1564.29,1591.15,1548.67,1575.53,198710,4455992
2023-01-19,1579.33,1610.26,1567.78,1598.7,96690,4478231
2023-01-20,1595.45,1620.03,1584.21,1608.79,106391,4121148
2023-01-23,1615.77,1630.84,1577.02,1592.1,202964,3922079
2023-01-24,1577.69,1613.17,1564.67,1600.14,334523,4640741
2023-01-25,1595.39,1605.97,1570.97,1581.56,66103,4354467
2023-01-26,1571.48,1617.72,1553.54,1599.79,237740,3948416
2023-01-27,1594.8,1617.89,1576.33,1599.42,362537,4153772
2023-01-30,1600.92,1610.99,1586.27,1596.33,185268,4477076
2023-01-31,1595.25,1603.32,1575.26,1583.33,263332,4250603
2023-02-01,1581.81,1620.73,1569.62,1608.54,140721,4204306
2023-02-02,1607.57,1625.35,1588.27,1606.05,188412,4629384
2023-02-03,1607.28,1625.47,1579.85,1598.04,88930,4098750
2023-02-06,1591.95,1601.63,1581.91,1591.6,61938,4152893
2023-02-07,1595.85,1620.4,1578.39,1602.94,320441,4370809
2023-02-08,1606.96,1620.51,1597.43,1610.98,122219,4413054
2023-02-09,1613.32,1632.96,1600.38,1620.02,159262,4439432
2023-02-10,1623.43,1650.0,1602.92,1629.48,99992,4535502
2023-02-13,1631.31,1685.59,1620.43,1674.71,98823,4379642
2023-02-14,1687.6,1697.94,1656.48,1666.82,183350,4446739
2023-02-15,1666.27,1679.92,1643.11,1656.76,138868,4286217
2023-02-16,1654.83,1670.79,1624.56,1640.51,241604,4358652
2023-02-17,1635.84,1673.94,1615.84,1653.95,250782,4371328
2023-02-20,1647.49,1699.21,1626.59,1678.31,234801,4397812
2023-02-21,1670.41,1685.89,1661.08,1676.56,225341,4525105
2023-02-22,1670.93,1681.03,1649.47,1659.57,440187,4479145
2023-02-23,1659.12,1677.23,1624.97,1643.07,117274,4369053
2023-02-24,1645.15,1668.99,1633.4,1657.25,194581,4189324
2023-02-27,1657.57,1693.13,1637.94,1673.51,352363,4379957
2023-02-28,1668.66,1702.62,1651.72,1685.67,376375,4361927
2023-03-01,1691.4,1701.24,1662.41,1672.26,98242,4413344
2023-03-02,1676.93,1696.83,1657.91,1677.82,171081,4883970
2023-03-03,1676.81,1691.67,1666.1,1680.96,394404,4263548
2023-03-06,1676.81,1700.16,1662.91,1686.26,257844,4473013
2023-03-07,1689.76,1721.27,1674.04,1705.55,220511,4622927
2023-03-08,1706.77,1726.14,1691.67,1711.04,179374,4406857
2023-03-09,1701.68,1744.08,1684.02,1726.43,165077,4932324
2023-03-10,1725.98,1745.82,1708.74,1728.58,231002,4308854
2023-03-13,1730.3,1757.34,1708.53,1735.58,176289,4465735
2023-03-14,1729.68,1772.18,1707.64,1750.13,195787,4224682
2023-03-15,1751.39,1766.76,1703.61,1718.98,208016,4323057
2023-03-16,1709.53,1722.61,1699.66,1712.75,142491,4457731
2023-03-17,1721.4,1739.35,1685.35,1703.31,260963,4595889
2023-03-20,1711.34,1732.34,1669.32,1690.32,858717,4479247
2023-03-21,1688.71,1701.25,1672.59,1685.14,82254,4697868
2023-03-22,1687.45,1732.51,1672.81,1717.86,235173,4393197
2023-03-23,1702.21,1716.24,1685.87,1699.9,136759,4344233
2023-03-24,1692.47,1730.79,1683.12,1721.45,266938,5059706
2023-03-27,1719.53,1736.6,1668.94,1686.0,204710,4510790
2023-03-28,1679.17,1692.52,1666.22,1679.57,292728,4269245
2023-03-29,1684.1,1702.61,1665.18,1683.68,359987,4277413
2023-03-30,1696.39,1716.06,1677.17,1696.84,220198,4227359
2023-03-31,1689.29,1732.06,1670.03,1712.79,352250,4646849
2023-04-03,1707.37,1744.86,1693.2,1730.68,61940,4357032
2023-04-04,1732.22,1745.1,1710.9,1723.78,442988,4468384
2023-04-05,1734.28,1752.62,1696.1,1714.45,241253,4428812
2023-04-06,1706.53,1753.01,1687.29,1733.77,342831,4611390
2023-04-07,1735.4,1750.55,1715.14,1730.28,108676,4264244
2023-04-10,1742.19,1762.28,1683.29,1703.37,132017,4218461
2023-04-11,1692.74,1703.03,1669.6,1679.89,215139,4504651
2023-04-12,1671.75,1691.17,1641.79,1661.2,198303,4593258
2023-04-13,1658.54,1681.94,1648.9,1672.3,230408,4534950
2023-04-14,1669.01,1686.36,1658.62,1675.97,343977,4286026
2023-04-17,1681.12,1706.63,1665.77,1691.28,82740,4619802
2023-04-18,1692.83,1702.17,1673.53,1682.87,325455,4305654
2023-04-19,1671.58,1696.08,1662.41,1686.91,200829,4356588
2023-04-20,1690.19,1709.51,1681.61,1700.93,180625,4268285
2023-04-21,1697.22,1711.35,1680.85,1694.99,95847,4778424
2023-04-24,1703.15,1724.03,1684.57,1705.44,257196,4624493
2023-04-25,1701.4,1710.37,1682.98,1691.95,59815,4620892
2023-04-26,1687.88,1704.68,1668.1,1684.9,276583,4774746
2023-04-27,1688.35,1707.24,1658.59,1677.48,94846,5166803
2023-04-28,1682.32,1692.75,1642.62,1653.05,205417,4123909
2023-05-01,1655.85,1674.12,1645.62,1663.89,188431,4331807
2023-05-02,1653.29,1673.84,1634.18,1654.73,358915,4361148
2023-05-03,1658.1,1676.74,1637.0,1655.65,182909,4313040
2023-05-04,1649.18,1681.56,1633.99,1666.37,141351,4267142
2023-05-05,1667.85,1695.26,1649.02,1676.43,155246,4439225
2023-05-08,1667.41,1700.93,1657.7,1691.22,377948,4243002
2023-05-09,1694.07,1707.63,1676.24,1689.79,261508,4588218
2023-05-10,1684.64,1702.49,1663.62,1681.47,164926,4526560
2023-05-11,1673.32,1692.19,1661.58,1680.45,177699,4627730
2023-05-12,1684.98,1702.64,1628.1,1645.76,91352,4636865
2023-05-15,1647.26,1661.57,1602.36,1616.66,242876,4661974
2023-05-16,1612.91,1629.95,1573.54,1590.58,82964,4442665
2023-05-17,1599.3,1612.74,1557.9,1571.34,291259,5036030
2023-05-18,1568.72,1592.26,1556.37,1579.9,213284,4585586
2023-05-19,1580.09,1590.56,1552.14,1562.6,659705,4131775
2023-05-22,1564.19,1574.48,1545.5,1555.79,115382,4316078
2023-05-23,1552.15,1599.06,1535.19,1582.1,189992,4162330
2023-05-24,1584.91,1594.27,1566.28,1575.64,491499,4547605
2023-05-25,1572.46,1600.03,1563.41,1590.98,362858,4518939
