date,open,high,low,close,volume,oi
2023-01-02,955.52,963.82,946.37,954.67,214493,4283803
2023-01-03,953.88,961.33,933.41,940.86,132957,4475940
2023-01-04,946.6,964.67,933.53,951.61,112719,4424364
2023-01-05,949.78,978.48,936.43,965.14,124986,4238396
2023-01-06,971.24,983.56,926.38,938.7,145606,4162959
2023-01-09,939.23,952.41,908.43,921.6,111785,4132296
2023-01-10,922.64,935.1,911.3,923.77,216880,4368266
2023-01-11,930.05,941.5,908.55,919.99,288061,4312013
2023-01-12,918.55,931.65,907.11,920.22,90447,4409644
2023-01-13,916.46,925.53,900.29,909.36,202528,4304198
2023-01-16,907.59,930.47,898.59,921.48,179172,4457591
2023-01-17,923.29,939.73,915.94,932.38,237239,4301968
2023-01-18,926.03,944.37,915.38,933.73,198710,4455992
2023-01-19,936.31,957.46,928.42,949.57,96690,4478231
2023-01-20,947.34,964.18,939.66,956.49,106391,4121148
2023-01-23,961.26,971.55,934.83,945.12,202964,3922079
2023-01-24,935.28,959.54,926.38,950.65,334523,4640741
2023-01-25,947.4,954.62,930.77,937.99,66103,4354467
2023-01-26,931.11,962.72,918.86,950.47,237740,3948416
2023-01-27,947.06,962.87,934.44,950.25,362537,4153772
2023-01-30,951.27,958.15,941.3,948.17,185268,4477076
2023-01-31,947.43,952.94,933.82,939.32,263332,4250603
2023-02-01,938.29,964.92,929.95,956.58,140721,4204306
2023-02-02,955.92,968.07,942.75,954.91,188412,4629384
2023-02-03,955.75,968.18,937.04,949.47,88930,4098750
2023-02-06,945.3,951.92,938.48,945.1,61938,4152893
2023-02-07,948.0,964.82,936.06,952.88,320441,4370809
2023-02-08,955.63,964.93,949.11,958.41,122219,4413054
2023-02-09,960.01,973.49,951.15,964.63,159262,4439432
2023-02-10,966.97,985.21,952.91,971.15,99992,4535502
2023-02-13,972.4,1009.73,964.91,1002.25,98823,4379642
2023-02-14,1011.11,1018.22,989.74,996.85,183350,4446739
2023-02-15,996.47,1005.85,980.59,989.96,138868,4286217
2023-02-16,988.64,999.59,967.89,978.84,241604,4358652
2023-02-17,975.63,1001.84,961.89,988.1,250782,4371328
2023-02-20,983.67,1019.28,969.27,1004.89,234801,4397812
2023-02-21,999.45,1010.15,993.03,1003.72,225341,4525105
2023-02-22,999.84,1006.78,985.13,992.06,440187,4479145
2023-02-23,991.76,1004.19,968.34,980.77,117274,4369053
2023-02-24,982.19,998.61,974.12,990.54,194581,4189324
2023-02-27,990.76,1015.27,977.25,1001.75,352363,4379957
