date,open,high,low,close,volume,oi
2023-01-02,1458.05,1470.17,1444.51,1456.63,214493,4283803
2023-01-03,1455.47,1466.35,1425.4,1436.28,132957,4475940
2023-01-04,1444.66,1470.85,1425.59,1451.79,112719,4424364
2023-01-05,1449.12,1490.8,1429.66,1471.34,124986,4238396
2023-01-06,1480.24,1498.22,1414.59,1432.57,145606,4162959
2023-01-09,1433.36,1452.61,1388.18,1407.43,111785,4132296
2023-01-10,1408.94,1426.96,1392.39,1410.41,216880,4368266
2023-01-11,1419.58,1436.3,1388.0,1404.72,288061,4312013
2023-01-12,1402.61,1421.57,1385.91,1404.87,90447,4409644
2023-01-13,1399.37,1412.62,1375.58,1388.83,202528,4304198
2023-01-16,1386.24,1419.47,1373.11,1406.34,179172,4457591
2023-01-17,1408.98,1432.79,1398.26,1422.06,237239,4301968
2023-01-18,1412.81,1439.38,1397.28,1423.85,198710,4455992
2023-01-19,1427.63,1458.26,1416.12,1446.76,96690,4478231
2023-01-20,1443.52,1467.86,1432.32,1456.66,106391,4121148
2023-01-23,1463.61,1478.61,1424.91,1439.91,202964,3922079
2023-01-24,1425.57,1460.74,1412.61,1447.78,334523,4640741
2023-01-25,1443.04,1453.57,1418.63,1429.15,66103,4354467
2023-01-26,1419.13,1464.99,1401.29,1447.15,237740,3948416
2023-01-27,1442.18,1465.01,1423.81,1446.64,362537,4153772
2023-01-30,1448.13,1458.15,1433.42,1443.43,185268,4477076
2023-01-31,1442.36,1450.37,1422.34,1430.36,263332,4250603
2023-02-01,1428.85,1467.43,1416.72,1455.3,140721,4204306
2023-02-02,1454.33,1472.02,1434.99,1452.68,188412,4629384
2023-02-03,1453.91,1472.0,1426.49,1444.57,88930,4098750
2023-02-06,1438.52,1448.14,1428.4,1438.03,61938,4152893
2023-02-07,1442.26,1466.54,1424.89,1449.17,320441,4370809
2023-02-08,1453.16,1466.5,1443.69,1457.03,122219,4413054
2023-02-09,1459.36,1478.76,1446.48,1465.88,159262,4439432
2023-02-10,1469.27,1495.59,1448.85,1475.16,99992,4535502
2023-02-13,1476.98,1530.98,1466.12,1520.12,98823,4379642
2023-02-14,1532.98,1543.3,1501.78,1512.1,183350,4446739
2023-02-15,1511.55,1525.16,1488.31,1501.91,138868,4286217
2023-02-16,1499.99,1515.88,1469.68,1485.57,241604,4358652
2023-02-17,1480.92,1518.76,1460.99,1498.82,250782,4371328
2023-02-20,1492.39,1543.84,1471.52,1522.97,234801,4397812
2023-02-21,1515.09,1530.4,1505.78,1521.09,225341,4525105
2023-02-22,1515.47,1525.53,1493.93,1503.99,440187,4479145
2023-02-23,1503.55,1521.58,1469.39,1487.41,117274,4369053
2023-02-24,1489.48,1513.1,1477.78,1501.4,194581,4189324
2023-02-27,1501.71,1537.03,1482.14,1517.46,352363,4379957
2023-02-28,1512.63,1546.36,1495.71,1529.44,376375,4361927
2023-03-01,1535.17,1544.98,1506.1,1515.92,98242,4413344
2023-03-02,1520.58,1540.29,1501.61,1521.32,171081,4883970
2023-03-03,1520.31,1534.99,1509.63,1524.3,394404,4263548
2023-03-06,1520.16,1543.31,1506.3,1529.45,257844,4473013
2023-03-07,1532.94,1564.25,1517.24,1548.56,220511,4622927
2023-03-08,1549.77,1568.98,1534.69,1553.89,179374,4406857
2023-03-09,1544.54,1586.77,1526.89,1569.12,165077,4932324
2023-03-10,1568.67,1588.36,1551.44,1571.12,231002,4308854
2023-03-13,1572.83,1599.73,1551.07,1577.97,176289,4465735
2023-03-14,1572.07,1614.44,1550.0,1592.38,195787,4224682
2023-03-15,1593.63,1608.99,1545.72,1561.07,208016,4323057
2023-03-16,1551.63,1564.55,1541.78,1554.7,142491,4457731
2023-03-17,1563.34,1581.26,1527.21,1545.13,260963,4595889
2023-03-20,1553.14,1574.08,1511.09,1532.03,858717,4479247
2023-03-21,1530.42,1542.92,1514.21,1526.72,82254,4697868
2023-03-22,1529.02,1573.83,1514.4,1559.21,235173,4393197
2023-03-23,1543.59,1557.57,1527.15,1541.13,136759,4344233
2023-03-24,1533.73,1571.82,1524.4,1562.49,266938,5059706
2023-03-27,1560.58,1577.58,1509.99,1526.99,204710,4510790
2023-03-28,1520.18,1533.33,1507.28,1520.43,292728,4269245
2023-03-29,1524.95,1543.38,1505.95,1524.39,359987,4277413
2023-03-30,1537.04,1556.5,1517.89,1537.34,220198,4227359
2023-03-31,1529.82,1572.32,1510.61,1553.1,352250,4646849
2023-04-03,1547.69,1584.96,1533.54,1570.81,61940,4357032
2023-04-04,1572.34,1585.19,1550.92,1563.77,442988,4468384
2023-04-05,1574.24,1592.53,1536.01,1554.31,241253,4428812
2023-04-06,1546.41,1592.64,1527.2,1573.43,342831,4611390
2023-04-07,1575.06,1590.18,1554.69,1569.8,108676,4264244
2023-04-10,1581.69,1601.7,1522.81,1542.82,132017,4218461
2023-04-11,1532.22,1542.46,1509.05,1519.29,215139,4504651
2023-04-12,1511.2,1530.49,1481.28,1500.57,198303,4593258
2023-04-13,1497.92,1521.04,1488.34,1511.46,230408,4534950
2023-04-14,1508.19,1525.29,1497.85,1514.96,343977,4286026
2023-04-17,1520.08,1545.32,1504.8,1530.05,82740,4619802
2023-04-18,1531.58,1540.87,1512.24,1521.53,325455,4305654
2023-04-19,1510.3,1534.52,1501.18,1525.4,200829,4356588
2023-04-20,1528.67,1547.74,1520.13,1539.2,180625,4268285
2023-04-21,1535.51,1549.57,1519.08,1533.14,95847,4778424
2023-04-24,1541.26,1561.9,1522.77,1543.4,257196,4624493
2023-04-25,1539.38,1548.3,1520.91,1529.83,59815,4620892
2023-04-26,1525.78,1542.48,1505.97,1522.67,276583,4774746
2023-04-27,1526.1,1544.87,1496.38,1515.15,94846,5166803
2023-04-28,1519.96,1530.3,1480.41,1490.76,205417,4123909
2023-05-01,1493.53,1511.52,1483.38,1501.36,188431,4331807
2023-05-02,1490.84,1511.09,1471.89,1492.13,358915,4361148
2023-05-03,1495.47,1513.97,1474.41,1492.9,182909,4313040
2023-05-04,1486.48,1518.46,1471.41,1503.39,141351,4267142
2023-05-05,1504.86,1531.94,1486.17,1513.24,155246,4439225
2023-05-08,1504.28,1537.43,1494.64,1527.78,377948,4243002
2023-05-09,1530.61,1544.08,1512.75,1526.21,261508,4588218
2023-05-10,1521.1,1538.82,1500.08,1517.8,164926,4526560
2023-05-11,1509.71,1528.3,1498.06,1516.64,177699,4627730
2023-05-12,1521.15,1538.63,1464.61,1482.09,91352,4636865
2023-05-15,1483.58,1497.73,1439.01,1453.16,242876,4661974
2023-05-16,1449.45,1466.27,1410.44,1427.25,82964,4442665
2023-05-17,1435.86,1449.11,1394.9,1408.14,291259,5036030
2023-05-18,1405.56,1428.63,1393.38,1416.45,213284,4585586
2023-05-19,1416.64,1426.94,1388.95,1399.26,659705,4131775
2023-05-22,1400.83,1410.96,1382.29,1392.42,115382,4316078
2023-05-23,1388.83,1434.93,1372.11,1418.2,189992,4162330
2023-05-24,1420.98,1430.2,1402.48,1411.7,491499,4547605
2023-05-25,1408.57,1435.61,1399.64,1426.69,362858,4518939
2023-05-26,1424.24,1434.12,1398.95,1408.83,141204,4444108
2023-05-29,1416.81,1426.65,1395.46,1405.3,223698,5033822
2023-05-30,1399.22,1416.41,1370.2,1387.39,200200,4681950
2023-05-31,1373.47,1393.59,1361.24,1381.36,230279,4726582
2023-06-01,1390.61,1417.28,1371.35,1398.01,141030,4353478
2023-06-02,1412.83,1421.96,1356.28,1365.41,191264,4341425
2023-06-05,1363.11,1389.21,1348.02,1374.12,89953,4575110
2023-06-06,1363.06,1391.92,1350.27,1379.13,213979,4609277
2023-06-07,1377.35,1389.4,1356.23,1368.28,250467,4167161
2023-06-08,1366.65,1383.85,1324.39,1341.59,178503,4534273
2023-06-09,1340.53,1361.74,1322.19,1343.39,89192,4581437
2023-06-12,1337.17,1354.25,1316.95,1334.02,327858,4532077
2023-06-13,1337.24,1348.35,1327.67,1338.79,239985,4401285
2023-06-14,1341.71,1351.59,1329.76,1339.65,139116,4464767
2023-06-15,1331.33,1385.26,1316.25,1370.19,173819,4549323
2023-06-16,1374.17,1385.03,1355.26,1366.11,94441,4613508
2023-06-19,1377.77,1393.47,1331.63,1347.33,119774,4736577
2023-06-20,1348.29,1365.0,1334.44,1351.14,152843,4853714
2023-06-21,1349.25,1369.46,1335.52,1355.73,369639,4534025
2023-06-22,1354.93,1399.16,1337.75,1381.98,145265,4500305
2023-06-23,1385.52,1414.56,1369.5,1398.54,275454,4708931
2023-06-26,1388.48,1414.06,1380.38,1405.96,152804,4752853
2023-06-27,1406.92,1443.79,1398.37,1435.25,226397,4513699
2023-06-28,1432.92,1447.81,1397.38,1412.28,186348,4801704
2023-06-29,1423.13,1436.55,1386.86,1400.29,309465,4850365
2023-06-30,1399.27,1409.93,1372.23,1382.89,153072,4929720
2023-07-03,1392.48,1404.9,1363.49,1375.91,91108,5054286
2023-07-04,1369.6,1385.59,1334.37,1350.37,100217,4430986
2023-07-05,1353.66,1379.69,1336.74,1362.77,153297,4633256
2023-07-06,1364.58,1378.46,1345.17,1359.04,107102,4635530
2023-07-07,1354.13,1365.78,1320.42,1332.07,245531,4613119
2023-07-10,1333.06,1343.3,1303.66,1313.9,158449,4490507
2023-07-11,1320.53,1333.57,1307.03,1320.07,655645,4309281
2023-07-12,1318.3,1346.85,1307.4,1335.95,83886,4666005
2023-07-13,1326.55,1387.97,1312.49,1373.9,221436,4472159
2023-07-14,1373.8,1446.99,1357.82,1431.01,113788,4670229
2023-07-17,1425.64,1448.51,1416.87,1439.74,156274,4471953
2023-07-18,1437.69,1445.58,1412.73,1420.62,214653,4406862
2023-07-19,1420.13,1430.22,1369.64,1379.72,62529,4713727
2023-07-20,1369.94,1403.31,1351.96,1385.32,225141,4697018
2023-07-21,1376.02,1390.98,1355.31,1370.27,517894,4801668
2023-07-24,1373.02,1382.52,1353.37,1362.87,159428,5206509
2023-07-25,1359.91,1377.41,1334.32,1351.82,227743,4735548
