date,open,high,low,close,volume,oi
2023-01-02,18068.16,18170.64,17959.36,18061.84,536233,8567607
2023-01-03,18052.05,18144.46,17802.66,17895.07,332393,8951881
2023-01-04,17966.28,18193.81,17804.82,18032.34,281798,8848728
2023-01-05,18009.72,18367.49,17845.57,18203.34,312466,8476792
2023-01-06,18278.42,18431.5,17727.6,17880.67,364017,8325918
2023-01-09,17887.33,18052.13,17506.93,17671.73,279463,8264592
2023-01-10,17684.67,17844.52,17542.99,17702.84,542201,8736533
2023-01-11,17781.36,17924.67,17516.43,17659.74,720154,8624027
2023-01-12,17641.63,17809.81,17498.47,17666.66,226118,8819288
2023-01-13,17619.53,17733.58,17420.43,17534.48,506321,8608397
2023-01-16,17512.18,17803.17,17399.54,17690.53,447931,8915183
2023-01-17,17713.21,17922.52,17621.53,17830.84,593099,8603937
2023-01-18,17751.69,17984.53,17618.96,17851.79,496775,8911984
2023-01-19,17884.05,18150.74,17786.21,18052.89,241726,8956462
2023-01-20,18025.32,18237.9,17930.23,18142.8,265977,8242297
2023-01-23,18201.84,18329.71,17878.13,18006.0,507410,7844158
2023-01-24,17883.79,18189.16,17773.44,18078.8,836309,9281483
2023-01-25,18038.49,18128.49,17835.61,17925.6,165259,8708935
2023-01-26,17839.91,18237.0,17687.88,18084.97,594351,7896833
2023-01-27,18042.61,18243.0,17886.01,18086.4,906344,8307545
2023-01-30,18099.09,18184.55,17979.32,18064.77,463170,8954153
2023-01-31,18055.6,18124.24,17890.16,17958.8,658331,8501206
2023-02-01,17945.9,18280.81,17842.56,18177.47,351803,8408613
2023-02-02,18169.27,18320.02,18010.19,18160.94,471031,9258768
2023-02-03,18171.41,18325.92,17943.05,18097.55,222327,8197501
2023-02-06,18045.81,18129.73,17963.44,18047.37,154846,8305786
2023-02-07,18083.53,18296.63,17935.26,18148.36,801104,8741618
2023-02-08,18182.45,18301.99,18101.63,18221.17,305549,8826109
2023-02-09,18241.06,18412.09,18131.4,18302.44,398156,8878864
2023-02-10,18331.32,18560.82,18157.72,18387.22,249981,9071004
2023-02-13,18402.67,18864.9,18311.22,18773.44,247058,8759284
2023-02-14,18881.74,18968.8,18624.73,18711.79,458375,8893478
2023-02-15,18707.17,18822.25,18516.61,18631.69,347171,8572435
2023-02-16,18615.47,18750.38,18364.24,18499.16,604011,8717304
2023-02-17,18459.64,18786.23,18290.81,18617.39,626956,8742657
2023-02-20,18562.91,19003.28,18387.06,18827.42,587004,8795624
2023-02-21,18761.01,18896.07,18682.45,18817.52,563354,9050210
2023-02-22,18770.11,18855.32,18593.79,18679.01,1100469,8958290
2023-02-23,18675.26,18828.49,18391.03,18544.26,293187,8738107
2023-02-24,18561.83,18768.09,18462.63,18668.89,486453,8378648
2023-02-27,18671.59,18976.28,18506.13,18810.82,880907,8759915
2023-02-28,18770.0,19060.68,18627.33,18918.02,940938,8723854
2023-03-01,18966.3,19049.32,18726.76,18809.78,245605,8826689
2023-03-02,18849.21,19021.79,18688.89,18861.47,427703,9767941
2023-03-03,18852.94,18982.98,18762.64,18892.68,986012,8527096
2023-03-06,18857.71,19059.26,18740.64,18942.19,644611,8946027
2023-03-07,18971.64,19241.37,18839.59,19109.32,551278,9245855
2023-03-08,19119.51,19287.1,18992.69,19160.29,448435,8813715
2023-03-09,19081.63,19442.2,18933.65,19294.22,412694,9864649
2023-03-10,19290.5,19461.67,19146.01,19317.18,577505,8617708
2023-03-13,19331.53,19562.95,19149.27,19380.69,440724,8931471
2023-03-14,19331.26,19691.64,19147.0,19507.38,489467,8449365
2023-03-15,19517.88,19647.01,19122.09,19251.22,520040,8646114
2023-03-16,19171.83,19286.68,19088.88,19203.73,356228,8915462
2023-03-17,19276.47,19427.71,18977.86,19129.1,652409,9191778
2023-03-20,19196.77,19374.02,18847.19,19024.44,2146793,8958494
2023-03-21,19010.82,19116.84,18879.47,18985.49,205637,9395737
2023-03-22,19005.05,19389.38,18881.86,19266.19,587933,8786395
2023-03-23,19134.57,19252.88,19001.42,19119.73,341898,8688466
2023-03-24,19057.06,19384.69,18978.46,19306.1,667346,10119413
2023-03-27,19290.02,19434.34,18867.67,19011.99,511775,9021580
2023-03-28,18954.21,19072.02,18844.55,18962.36,731820,8538491
2023-03-29,19000.76,19158.66,18844.11,19002.01,899969,8554826
2023-03-30,19109.59,19280.53,18947.14,19118.08,550495,8454718
2023-03-31,19054.31,19420.04,18891.86,19257.59,880627,9293698
2023-04-03,19211.88,19532.42,19092.64,19413.18,154850,8714064
2023-04-04,19426.14,19534.61,19251.51,19359.98,1107470,8936768
2023-04-05,19448.4,19603.17,19131.43,19286.2,603133,8857625
2023-04-06,19219.37,19615.81,19057.45,19453.9,857078,9222780
2023-04-07,19467.63,19595.18,19301.91,19429.46,271692,8528488
2023-04-10,19529.77,19699.61,19037.39,19207.23,330043,8436922
2023-04-11,19117.3,19204.67,18925.74,19013.11,537848,9009302
2023-04-12,18944.07,19109.34,18693.75,18859.02,495758,9186517
2023-04-13,18836.38,19040.25,18754.39,18958.26,576020,9069900
2023-04-14,18930.28,19082.57,18841.96,18994.25,859942,8572053
2023-04-17,19038.0,19259.31,18907.8,19129.11,206850,9239604
2023-04-18,19142.21,19221.56,18983.18,19062.53,813639,8611308
2023-04-19,18966.62,19179.54,18888.7,19101.62,502074,8713176
2023-04-20,19129.53,19298.18,19056.81,19225.46,451564,8536570
2023-04-21,19193.98,19313.92,19059.96,19179.9,239619,9556849
2023-04-24,19249.19,19430.96,19091.7,19273.47,642992,9248987
2023-04-25,19239.18,19315.4,19087.63,19163.85,149538,9241785
2023-04-26,19129.26,19272.15,18965.85,19108.73,691459,9549492
2023-04-27,19138.05,19298.95,18889.51,19050.42,237117,10333607
2023-04-28,19091.62,19180.8,18757.56,18846.74,513544,8247819
2023-05-01,18870.68,19031.47,18783.31,18944.09,471077,8663615
2023-05-02,18853.57,19034.06,18690.15,18870.64,897288,8722296
2023-05-03,18899.42,19058.91,18723.77,18883.26,457272,8626080
2023-05-04,18827.9,19109.41,18698.17,18979.68,353378,8534284
2023-05-05,18992.34,19231.08,18831.69,19070.43,388116,8878451
2023-05-08,18993.46,19283.95,18910.79,19201.28,944872,8486005
2023-05-09,19225.57,19341.05,19078.51,19193.98,653770,9176436
2023-05-10,19150.1,19302.4,18975.59,19127.89,412317,9053121
