date,open,high,low,close,volume,oi
2023-01-02,2413.33,2433.39,2391.01,2411.07,214493,4283803
2023-01-03,2409.15,2427.16,2359.47,2377.48,132957,4475940
2023-01-04,2391.35,2434.81,2359.79,2403.24,112719,4424364
2023-01-05,2398.82,2467.92,2366.61,2435.7,124986,4238396
2023-01-06,2450.44,2480.21,2341.85,2371.63,145606,4162959
2023-01-09,2372.92,2404.79,2298.23,2330.1,111785,4132296
2023-01-10,2332.6,2362.53,2305.19,2335.12,216880,4368266
2023-01-11,2350.31,2377.99,2298.11,2325.79,288061,4312013
2023-01-12,2322.29,2353.78,2294.65,2326.13,90447,4409644
2023-01-13,2317.03,2338.97,2277.73,2299.67,202528,4304198
2023-01-16,2295.38,2350.5,2273.63,2328.75,179172,4457591
2023-01-17,2333.13,2372.64,2315.37,2354.88,237239,4301968
2023-01-18,2339.55,2383.65,2313.84,2357.94,198710,4455992
2023-01-19,2364.19,2415.02,2345.14,2395.97,96690,4478231
2023-01-20,2390.6,2431.01,2372.06,2412.46,106391,4121148
2023-01-23,2423.98,2448.82,2359.97,2384.81,202964,3922079
2023-01-24,2361.07,2419.41,2339.6,2397.94,334523,4640741
2023-01-25,2390.1,2407.53,2349.75,2367.18,66103,4354467
2023-01-26,2350.59,2426.64,2321.03,2397.09,237740,3948416
2023-01-27,2388.86,2426.78,2358.42,2396.34,362537,4153772
2023-01-30,2398.81,2415.4,2374.53,2391.12,185268,4477076
2023-01-31,2389.34,2402.62,2356.28,2369.56,263332,4250603
2023-02-01,2367.07,2431.07,2346.96,2410.97,140721,4204306
2023-02-02,2409.37,2438.67,2377.42,2406.73,188412,4629384
2023-02-03,2408.76,2438.73,2363.42,2393.39,88930,4098750
2023-02-06,2383.36,2399.3,2366.7,2382.65,61938,4152893
2023-02-07,2389.65,2429.97,2360.88,2401.2,320441,4370809
2023-02-08,2407.82,2430.02,2392.11,2414.31,122219,4413054
2023-02-09,2418.17,2450.43,2396.83,2429.08,159262,4439432
2023-02-10,2434.7,2478.41,2400.85,2444.56,99992,4535502
2023-02-13,2447.57,2537.16,2429.57,2519.16,98823,4379642
2023-02-14,2540.47,2557.57,2488.86,2505.96,183350,4446739
2023-02-15,2505.05,2527.6,2466.63,2489.18,138868,4286217
2023-02-16,2486.0,2512.34,2435.87,2462.2,241604,4358652
2023-02-17,2454.49,2517.3,2421.45,2484.26,250782,4371328
2023-02-20,2473.59,2558.97,2439.01,2524.39,234801,4397812
2023-02-21,2511.33,2536.8,2495.89,2521.36,225341,4525105
2023-02-22,2512.05,2528.73,2476.44,2493.12,440187,4479145
2023-02-23,2492.39,2522.27,2435.86,2465.74,117274,4369053
2023-02-24,2469.16,2508.41,2449.76,2489.02,194581,4189324
2023-02-27,2489.54,2548.2,2457.09,2515.74,352363,4379957
2023-02-28,2507.74,2563.76,2479.69,2535.71,376375,4361927
2023-03-01,2545.2,2561.48,2497.12,2513.39,98242,4413344
2023-03-02,2521.12,2553.89,2489.67,2522.45,171081,4883970
2023-03-03,2520.77,2545.21,2503.06,2527.49,394404,4263548
2023-03-06,2520.63,2559.12,2497.64,2536.13,257844,4473013
2023-03-07,2541.91,2593.94,2515.88,2567.92,220511,4622927
2023-03-08,2569.92,2601.88,2544.91,2576.87,179374,4406857
2023-03-09,2561.35,2631.49,2532.08,2602.22,165077,4932324
2023-03-10,2601.48,2634.23,2572.89,2605.64,231002,4308854
2023-03-13,2608.48,2653.2,2572.39,2617.1,176289,4465735
2023-03-14,2607.31,2677.69,2570.72,2641.1,195787,4224682
2023-03-15,2643.19,2668.66,2563.81,2589.29,208016,4323057
2023-03-16,2573.62,2595.16,2557.29,2578.82,142491,4457731
2023-03-17,2593.15,2622.87,2533.32,2563.04,260963,4595889
2023-03-20,2576.34,2611.06,2506.68,2541.41,858717,4479247
2023-03-21,2538.74,2559.49,2511.96,2532.7,82254,4697868
2023-03-22,2536.53,2610.96,2512.27,2586.7,235173,4393197
2023-03-23,2560.79,2583.99,2533.62,2556.82,136759,4344233
2023-03-24,2544.53,2607.83,2529.05,2592.35,266938,5059706
2023-03-27,2589.18,2617.39,2505.34,2533.55,204710,4510790
2023-03-28,2522.26,2544.18,2500.86,2522.78,292728,4269245
2023-03-29,2530.27,2560.86,2498.85,2529.44,359987,4277413
2023-03-30,2550.44,2582.83,2518.65,2551.04,220198,4227359
2023-03-31,2538.56,2609.18,2506.67,2577.29,352250,4646849
2023-04-03,2568.32,2630.26,2544.83,2606.77,61940,4357032
2023-04-04,2609.33,2630.65,2573.87,2595.19,442988,4468384
2023-04-05,2612.58,2642.94,2549.23,2579.6,241253,4428812
2023-04-06,2566.49,2643.32,2534.61,2611.45,342831,4611390
2023-04-07,2614.15,2639.24,2580.43,2605.52,108676,4264244
2023-04-10,2625.25,2658.46,2527.62,2560.84,132017,4218461
2023-04-11,2543.25,2560.25,2504.89,2521.89,215139,4504651
2023-04-12,2508.46,2540.47,2458.89,2490.9,198303,4593258
2023-04-13,2486.52,2524.99,2470.6,2509.08,230408,4534950
2023-04-14,2503.65,2532.14,2486.5,2514.99,343977,4286026
2023-04-17,2523.49,2565.5,2498.13,2540.14,82740,4619802
2023-04-18,2542.69,2558.11,2510.68,2526.1,325455,4305654
2023-04-19,2507.46,2547.77,2492.31,2532.62,200829,4356588
2023-04-20,2538.05,2569.83,2523.87,2555.65,180625,4268285
2023-04-21,2549.51,2572.86,2522.33,2545.68,95847,4778424
2023-04-24,2559.17,2593.54,2528.46,2562.82,257196,4624493
2023-04-25,2556.13,2570.95,2525.57,2540.38,59815,4620892
2023-04-26,2533.66,2561.39,2500.86,2528.6,276583,4774746
2023-04-27,2534.29,2565.46,2485.04,2516.21,94846,5166803
2023-04-28,2524.19,2541.38,2458.61,2475.79,205417,4123909
2023-05-01,2480.41,2510.38,2463.54,2493.51,188431,4331807
2023-05-02,2476.03,2509.76,2444.56,2478.28,358915,4361148
2023-05-03,2483.82,2514.54,2448.94,2479.65,182909,4313040
2023-05-04,2468.99,2522.21,2443.96,2497.18,141351,4267142
2023-05-05,2499.62,2544.69,2468.56,2513.63,155246,4439225
2023-05-08,2498.76,2553.91,2482.73,2537.89,377948,4243002
2023-05-09,2542.59,2564.97,2513.02,2535.39,261508,4588218
2023-05-10,2526.89,2556.33,2492.07,2521.52,164926,4526560
2023-05-11,2508.07,2539.05,2488.71,2519.69,177699,4627730
2023-05-12,2527.17,2556.22,2433.33,2462.39,91352,4636865
2023-05-15,2464.86,2488.37,2390.91,2414.41,242876,4661974
2023-05-16,2408.25,2436.19,2343.52,2371.46,82964,4442665
2023-05-17,2385.77,2407.78,2317.79,2339.8,291259,5036030
2023-05-18,2335.51,2373.94,2315.27,2353.69,213284,4585586
2023-05-19,2354.01,2371.14,2308.1,2325.23,659705,4131775
2023-05-22,2327.83,2344.66,2297.12,2313.95,115382,4316078
2023-05-23,2307.99,2384.68,2280.2,2356.89,189992,4162330
2023-05-24,2361.51,2376.83,2330.85,2346.17,491499,4547605
2023-05-25,2340.97,2386.02,2326.13,2371.18,362858,4518939
2023-05-26,2367.12,2383.53,2325.17,2341.58,141204,4444108
2023-05-29,2354.85,2371.2,2319.46,2335.82,223698,5033822
2023-05-30,2325.71,2354.28,2277.57,2306.14,200200,4681950
2023-05-31,2283.01,2316.54,2262.67,2296.2,230279,4726582
2023-06-01,2311.58,2356.0,2279.56,2323.98,141030,4353478
2023-06-02,2348.61,2363.79,2254.7,2269.87,191264,4341425
2023-06-05,2266.05,2309.53,2240.97,2284.45,89953,4575110
2023-06-06,2266.05,2314.13,2244.79,2292.86,213979,4609277
2023-06-07,2289.9,2309.94,2254.88,2274.92,250467,4167161
2023-06-08,2272.21,2300.81,2202.04,2230.63,178503,4534273
2023-06-09,2228.87,2264.22,2198.37,2233.71,89192,4581437
2023-06-12,2223.37,2251.77,2189.83,2218.23,327858,4532077
2023-06-13,2223.57,2242.14,2207.67,2226.24,239985,4401285
2023-06-14,2231.09,2247.53,2211.32,2227.76,139116,4464767
2023-06-15,2213.92,2303.69,2188.85,2278.63,173819,4549323
2023-06-16,2285.25,2303.31,2253.89,2271.95,94441,4613508
2023-06-19,2291.34,2317.45,2214.69,2240.8,119774,4736577
2023-06-20,2242.4,2270.27,2219.36,2247.23,152843,4853714
2023-06-21,2244.08,2277.78,2221.25,2254.95,369639,4534025
2023-06-22,2253.62,2327.28,2225.04,2298.7,145265,4500305
2023-06-23,2304.58,2352.98,2277.94,2326.34,275454,4708931
2023-06-26,2309.6,2352.25,2296.12,2338.76,152804,4752853
2023-06-27,2340.36,2401.8,2326.15,2387.58,226397,4513699
2023-06-28,2383.71,2408.49,2324.69,2349.47,186348,4801704
2023-06-29,2367.52,2389.85,2307.28,2329.61,309465,4850365
2023-06-30,2327.93,2345.66,2283.03,2300.76,153072,4929720
2023-07-03,2316.72,2337.38,2268.58,2289.24,91108,5054286
2023-07-04,2278.73,2305.35,2220.21,2246.83,100217,4430986
2023-07-05,2252.31,2295.71,2224.16,2267.56,153297,4633256
2023-07-06,2270.57,2293.66,2238.35,2261.44,107102,4635530
2023-07-07,2253.27,2272.66,2197.26,2216.66,245531,4613119
2023-07-10,2218.29,2235.33,2169.46,2186.51,158449,4490507
2023-07-11,2197.53,2219.24,2175.15,2196.86,655645,4309281
2023-07-12,2193.9,2241.52,2175.76,2223.37,83886,4666005
2023-07-13,2207.73,2310.03,2184.33,2286.63,221436,4472159
2023-07-14,2286.46,2408.37,2259.86,2381.76,113788,4670229
2023-07-17,2372.83,2410.99,2358.22,2396.39,156274,4471953
2023-07-18,2392.98,2406.11,2351.52,2364.65,214653,4406862
2023-07-19,2363.85,2380.63,2279.89,2296.68,62529,4713727
2023-07-20,2280.39,2336.03,2250.45,2306.09,225141,4697018
2023-07-21,2290.6,2315.5,2256.22,2281.12,517894,4801668
2023-07-24,2285.69,2301.51,2253.07,2268.89,159428,5206509
2023-07-25,2263.96,2293.1,2221.44,2250.58,227743,4735548
2023-07-26,2226.58,2268.29,2205.34,2247.05,333878,4787955
2023-07-27,2254.38,2303.04,2232.7,2281.36,184258,4430830
2023-07-28,2283.94,2317.67,2253.47,2287.2,149580,4387393
2023-07-31,2280.41,2296.83,2266.62,2283.04,64100,5067447
2023-08-01,2270.54,2287.05,2234.86,2251.36,275562,4473345
2023-08-02,2259.19,2282.1,2177.63,2200.55,188997,4449215
2023-08-03,2203.75,2219.42,2170.92,2186.6,120539,4681338
2023-08-04,2208.26,2232.73,2161.33,2185.8,213068,4672260
2023-08-07,2189.62,2257.28,2173.21,2240.87,149377,4489047
2023-08-08,2244.48,2260.07,2230.18,2245.77,153561,4628024
2023-08-09,2244.21,2293.98,2227.67,2277.43,270822,5000110
2023-08-10,2285.17,2305.66,2242.09,2262.59,102424,4519058
2023-08-11,2268.47,2284.07,2210.98,2226.58,337638,4390887
2023-08-14,2238.17,2252.82,2183.19,2197.84,99432,4937978
2023-08-15,2193.07,2220.71,2149.05,2176.68,143590,4830994
2023-08-16,2172.74,2261.11,2154.34,2242.7,523109,4572326
2023-08-17,2238.23,2257.18,2199.21,2218.16,351424,4360339
2023-08-18,2225.45,2258.41,2211.98,2244.94,210002,4549589
2023-08-21,2258.92,2277.81,2198.98,2217.86,124967,4712141
2023-08-22,2213.63,2264.95,2196.23,2247.54,153497,5011676
2023-08-23,2243.57,2284.42,2219.56,2260.42,207463,4491858
2023-08-24,2263.37,2279.73,2240.01,2256.38,203787,4713722
2023-08-25,2254.07,2285.13,2224.9,2255.96,191116,4899187
2023-08-28,2264.89,2294.57,2206.74,2236.43,196940,4207448
2023-08-29,2215.49,2265.5,2201.14,2251.15,179671,4993895
2023-08-30,2243.42,2257.82,2223.45,2237.85,97254,4472785
2023-08-31,2230.57,2244.89,2186.69,2201.0,154479,4827555
2023-09-01,2179.77,2202.9,2140.05,2163.19,315964,4809921
2023-09-04,2154.52,2183.41,2140.29,2169.19,100902,5018754
2023-09-05,2160.94,2246.04,2132.92,2218.03,181915,4889568
2023-09-06,2216.17,2250.07,2189.9,2223.8,132746,4226179
2023-09-07,2234.09,2261.54,2193.53,2220.99,211450,4579220
2023-09-08,2218.72,2252.77,2196.6,2230.65,164679,4798398
2023-09-11,2221.09,2303.68,2189.66,2272.25,418641,4721974
2023-09-12,2271.72,2293.52,2258.24,2280.04,257651,4886421
2023-09-13,2289.99,2310.13,2247.81,2267.95,103794,4966181
2023-09-14,2258.75,2322.85,2239.77,2303.87,279759,4924429
2023-09-15,2295.15,2349.62,2264.01,2318.48,135773,4728814
2023-09-18,2323.87,2393.75,2299.37,2369.26,149877,4360879
2023-09-19,2367.07,2405.29,2337.97,2376.18,233977,4677754
2023-09-20,2382.58,2398.85,2320.82,2337.09,156404,4889119
2023-09-21,2336.96,2368.34,2262.68,2294.07,312544,4537029
2023-09-22,2300.76,2370.8,2278.01,2348.05,135783,4947880
2023-09-25,2337.95,2428.94,2314.73,2405.73,146766,5019927
2023-09-26,2405.61,2438.3,2367.98,2400.66,144045,4830448
2023-09-27,2398.56,2419.37,2368.05,2388.86,150731,4120632
2023-09-28,2376.78,2460.24,2355.2,2438.66,346510,4508166
2023-09-29,2422.81,2447.81,2377.45,2402.45,273886,5284104
2023-10-02,2409.29,2424.98,2358.06,2373.74,470261,4681719
2023-10-03,2370.28,2415.59,2350.6,2395.91,621502,4359613
2023-10-04,2385.73,2402.77,2366.71,2383.75,119457,5124078
2023-10-05,2382.8,2399.75,2367.53,2384.49,207167,4823277
2023-10-06,2395.67,2426.0,2349.66,2380.0,111076,5096887
2023-10-09,2357.43,2417.05,2332.45,2392.07,135573,4893108
2023-10-10,2377.18,2460.92,2356.38,2440.11,145951,4940685
2023-10-11,2430.75,2465.96,2408.89,2444.11,117888,4920069
2023-10-12,2458.95,2489.48,2436.43,2466.95,118199,5006026
2023-10-13,2469.85,2495.78,2372.83,2398.76,186079,5420753
2023-10-16,2406.41,2438.18,2366.28,2398.05,108848,5081002
2023-10-17,2386.68,2418.22,2339.56,2371.09,304716,4475132
2023-10-18,2360.05,2380.58,2311.74,2332.26,126398,4955412
2023-10-19,2336.6,2355.69,2285.84,2304.93,814929,5133641
2023-10-20,2305.49,2326.82,2273.82,2295.15,159592,5152437
2023-10-23,2300.39,2349.23,2276.52,2325.35,207332,4752153
2023-10-24,2323.54,2344.97,2262.44,2283.87,104652,5148823
2023-10-25,2286.51,2311.7,2260.51,2285.71,469356,5091133
2023-10-26,2287.21,2310.27,2248.22,2271.28,350047,5530794
2023-10-27,2278.63,2297.2,2243.28,2261.85,232008,4687021
2023-10-30,2269.44,2313.69,2250.13,2294.38,101994,4747028
2023-10-31,2278.92,2332.53,2258.83,2312.43,222216,4797879
2023-11-01,2290.82,2371.5,2275.91,2356.59,114160,4756726
2023-11-02,2366.4,2382.69,2336.15,2352.44,415505,4665337
2023-11-03,2364.06,2390.99,2303.81,2330.74,299739,4250844
2023-11-06,2320.85,2344.81,2300.45,2324.41,209775,4778401
2023-11-07,2306.44,2350.22,2289.34,2333.12,59153,4977354
2023-11-08,2334.08,2363.64,2310.16,2339.73,122316,4770058
2023-11-09,2348.78,2376.05,2278.44,2305.7,282082,5389094
2023-11-10,2322.94,2340.68,2291.73,2309.47,366778,4898188
2023-11-13,2314.43,2346.45,2285.65,2317.67,348243,5224379
2023-11-14,2314.09,2432.7,2282.26,2400.87,90225,4965149
2023-11-15,2391.96,2490.99,2366.05,2465.08,232547,5110411
2023-11-16,2465.19,2492.26,2409.96,2437.03,332312,4975414
2023-11-17,2433.99,2448.52,2413.74,2428.26,87282,5257062
2023-11-20,2418.01,2449.92,2348.5,2380.41,199211,4925946
2023-11-21,2400.69,2421.49,2341.1,2361.9,229347,5038515
2023-11-22,2379.43,2410.82,2341.77,2373.16,172075,5008856
