date,open,high,low,close,volume,oi
2023-01-02,3316.66,3341.73,3288.68,3313.75,214493,4283803
2023-01-03,3311.35,3333.88,3249.12,3271.65,132957,4475940
2023-01-04,3289.01,3343.22,3249.56,3303.78,112719,4424364
2023-01-05,3298.25,3384.43,3258.04,3344.22,124986,4238396
2023-01-06,3362.61,3399.87,3226.8,3264.06,145606,4162959
2023-01-09,3265.68,3305.62,3172.02,3211.96,111785,4132296
2023-01-10,3215.1,3252.5,3180.76,3218.16,216880,4368266
2023-01-11,3237.19,3271.89,3171.69,3206.38,288061,4312013
2023-01-12,3202.0,3241.37,3167.35,3206.72,90447,4409644
2023-01-13,3195.31,3222.84,3145.93,3173.45,202528,4304198
2023-01-16,3168.07,3237.07,3140.82,3209.82,179172,4457591
2023-01-17,3215.31,3264.69,3193.08,3242.46,237239,4301968
2023-01-18,3223.27,3278.37,3191.09,3246.19,198710,4455992
2023-01-19,3254.01,3317.47,3230.21,3293.67,96690,4478231
2023-01-20,3286.96,3337.34,3263.8,3314.18,106391,4121148
2023-01-23,3328.55,3359.61,3248.48,3279.53,202964,3922079
2023-01-24,3249.85,3322.67,3223.03,3295.85,334523,4640741
2023-01-25,3286.05,3307.85,3235.5,3257.31,66103,4354467
2023-01-26,3236.54,3331.53,3199.62,3294.6,237740,3948416
2023-01-27,3284.31,3331.6,3246.29,3293.57,362537,4153772
2023-01-30,3296.66,3317.39,3266.22,3286.96,185268,4477076
2023-01-31,3284.73,3301.34,3243.3,3259.91,263332,4250603
2023-02-01,3256.79,3336.67,3231.69,3311.56,140721,4204306
2023-02-02,3309.57,3346.16,3269.58,3306.17,188412,4629384
2023-02-03,3308.71,3346.16,3251.98,3289.42,88930,4098750
2023-02-06,3276.88,3296.82,3255.97,3275.9,61938,4152893
2023-02-07,3284.65,3334.93,3248.72,3298.99,320441,4370809
2023-02-08,3307.26,3334.88,3287.65,3315.27,122219,4413054
2023-02-09,3320.09,3360.24,3293.46,3333.61,159262,4439432
2023-02-10,3340.62,3395.03,3298.42,3352.82,99992,4535502
2023-02-13,3356.58,3467.99,3334.19,3445.61,98823,4379642
2023-02-14,3472.11,3493.39,3407.83,3429.1,183350,4446739
2023-02-15,3427.97,3456.04,3380.06,3408.12,138868,4286217
2023-02-16,3404.17,3436.98,3341.62,3374.43,241604,4358652
2023-02-17,3364.82,3442.93,3323.69,3401.8,250782,4371328
2023-02-20,3388.53,3494.61,3345.54,3451.63,234801,4397812
2023-02-21,3435.39,3466.96,3416.2,3447.77,225341,4525105
2023-02-22,3436.19,3456.95,3391.79,3412.55,440187,4479145
2023-02-23,3411.64,3448.86,3341.14,3378.36,117274,4369053
2023-02-24,3382.63,3431.39,3358.49,3407.25,194581,4189324
2023-02-27,3407.91,3480.74,3367.56,3440.39,352363,4379957
2023-02-28,3430.44,3499.96,3395.6,3465.12,376375,4361927
2023-03-01,3476.91,3497.14,3417.05,3437.28,98242,4413344
2023-03-02,3446.88,3487.52,3407.8,3448.44,171081,4883970
2023-03-03,3446.36,3476.63,3424.34,3454.61,394404,4263548
2023-03-06,3446.08,3493.8,3417.53,3465.24,257844,4473013
2023-03-07,3472.42,3536.9,3440.13,3504.61,220511,4622927
2023-03-08,3507.1,3546.64,3476.07,3515.61,179374,4406857
2023-03-09,3496.37,3583.21,3460.1,3546.94,165077,4932324
2023-03-10,3546.02,3586.5,3510.61,3551.08,231002,4308854
2023-03-13,3554.6,3609.88,3509.9,3565.17,176289,4465735
2023-03-14,3553.05,3640.06,3507.78,3594.78,195787,4224682
2023-03-15,3597.36,3628.94,3498.94,3530.51,208016,4323057
2023-03-16,3511.1,3537.7,3490.84,3517.44,142491,4457731
2023-03-17,3535.2,3572.07,3460.89,3497.77,260963,4595889
2023-03-20,3514.26,3557.38,3427.71,3470.83,858717,4479247
2023-03-21,3467.51,3493.28,3434.15,3459.91,82254,4697868
2023-03-22,3464.67,3556.89,3434.6,3526.82,235173,4393197
2023-03-23,3494.69,3523.48,3460.87,3489.66,136759,4344233
2023-03-24,3474.41,3552.8,3455.23,3533.61,266938,5059706
2023-03-27,3529.69,3564.72,3425.56,3460.58,204710,4510790
2023-03-28,3446.56,3473.68,3419.98,3447.11,292728,4269245
2023-03-29,3456.41,3494.39,3417.3,3455.28,359987,4277413
2023-03-30,3481.36,3521.45,3441.91,3482.0,220198,4227359
2023-03-31,3466.51,3553.98,3426.98,3514.45,352250,4646849
2023-04-03,3503.33,3579.96,3474.25,3550.88,61940,4357032
2023-04-04,3554.04,3580.46,3510.02,3536.44,442988,4468384
2023-04-05,3557.98,3595.61,3479.38,3517.02,241253,4428812
2023-04-06,3500.77,3595.84,3461.3,3556.37,342831,4611390
2023-04-07,3559.72,3590.78,3517.87,3548.93,108676,4264244
2023-04-10,3573.36,3614.55,3452.27,3493.46,132017,4218461
2023-04-11,3471.65,3492.76,3423.92,3445.03,215139,4504651
2023-04-12,3428.35,3468.15,3366.63,3406.43,198303,4593258
2023-04-13,3400.98,3448.69,3381.21,3428.92,230408,4534950
2023-04-14,3422.18,3457.48,3400.87,3436.17,343977,4286026
2023-04-17,3446.73,3498.76,3415.26,3467.3,82740,4619802
2023-04-18,3470.46,3489.61,3430.63,3449.78,325455,4305654
2023-04-19,3426.63,3476.58,3407.83,3457.77,200829,4356588
2023-04-20,3464.51,3503.82,3446.93,3486.24,180625,4268285
2023-04-21,3478.63,3507.59,3444.82,3473.78,95847,4778424
2023-04-24,3490.51,3533.02,3452.44,3494.94,257196,4624493
2023-04-25,3486.65,3505.03,3448.63,3467.02,59815,4620892
2023-04-26,3458.67,3493.09,3417.87,3452.29,276583,4774746
2023-04-27,3459.35,3498.05,3398.11,3436.82,94846,5166803
2023-04-28,3446.73,3468.09,3365.13,3386.5,205417,4123909
