exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,66825,360ONE26AUG1080PE,NSE-360ONE-25Aug26-1080-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1080,500,0.05,20001,0,1,1,360ONE26AUG1080PE,0
NSE,77681,360ONE26SEP1240PE,NSE-360ONE-29Sep26-1240-PE,,PE,FNO,,,360ONE,13061,2026-09-29,1240,500,0.05,20001,0,1,1,360ONE26SEP1240PE,0
NSE,66751,360ONE26JUL1420PE,NSE-360ONE-28Jul26-1420-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1420,500,0.05,20001,1,1,1,360ONE26JUL1420PE,0
NSE,65259,360ONE26JUL1360PE,NSE-360ONE-28Jul26-1360-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1360,500,0.05,20001,1,1,1,360ONE26JUL1360PE,0
NSE,77368,360ONE26AUG1140PE,NSE-360ONE-25Aug26-1140-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1140,500,0.05,20001,0,1,1,360ONE26AUG1140PE,0
NSE,36691,031NSETEST36DECFUT,NSE-031NSETEST-27Nov36-FUT,,FUT,FNO,,,031NSETEST,14753,2036-11-27,-0.01,50,0.05,100001,0,1,1,031NSETEST36DECFUT,0
NSE,77382,360ONE26AUG1420CE,NSE-360ONE-25Aug26-1420-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1420,500,0.05,20001,1,1,1,360ONE26AUG1420CE,0
NSE,36700,061NSETEST36DECFUT,NSE-061NSETEST-27Nov36-FUT,,FUT,FNO,,,061NSETEST,14762,2036-11-27,-0.01,50,0.05,100001,0,1,1,061NSETEST36DECFUT,0
NSE,36713,091NSETEST36DECFUT,NSE-091NSETEST-27Nov36-FUT,,FUT,FNO,,,091NSETEST,14769,2036-11-27,-0.01,50,0.05,100001,0,1,1,091NSETEST36DECFUT,0
NSE,77154,360ONE26AUG740CE,NSE-360ONE-25Aug26-740-CE,,CE,FNO,,,360ONE,13061,2026-08-25,740,500,0.05,20001,1,1,1,360ONE26AUG740CE,0
NSE,66715,360ONE26JUL980CE,NSE-360ONE-28Jul26-980-CE,,CE,FNO,,,360ONE,13061,2026-07-28,980,500,0.05,20001,0,1,1,360ONE26JUL980CE,0
NSE,66839,360ONE26AUG1200PE,NSE-360ONE-25Aug26-1200-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1200,500,0.05,20001,0,1,1,360ONE26AUG1200PE,0
NSE,66719,360ONE26JUL1060CE,NSE-360ONE-28Jul26-1060-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1060,500,0.05,20001,0,1,1,360ONE26JUL1060CE,0
NSE,46200,360ONE26AUG680CE,NSE-360ONE-25Aug26-680-CE,,CE,FNO,,,360ONE,13061,2026-08-25,680,500,0.05,20001,1,1,1,360ONE26AUG680CE,0
NSE,77360,360ONE26AUG980PE,NSE-360ONE-25Aug26-980-PE,,PE,FNO,,,360ONE,13061,2026-08-25,980,500,0.05,20001,0,1,1,360ONE26AUG980PE,0
NSE,77388,360ONE26SEP560PE,NSE-360ONE-29Sep26-560-PE,,PE,FNO,,,360ONE,13061,2026-09-29,560,500,0.05,20001,1,1,1,360ONE26SEP560PE,0
NSE,66846,360ONE26AUG1360CE,NSE-360ONE-25Aug26-1360-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1360,500,0.05,20001,1,1,1,360ONE26AUG1360CE,0
NSE,65232,360ONE26JUL1000CE,NSE-360ONE-28Jul26-1000-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1000,500,0.05,20001,0,1,1,360ONE26JUL1000CE,0
NSE,38069,360ONE26JUL1460CE,NSE-360ONE-28Jul26-1460-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1460,500,0.05,20001,1,1,1,360ONE26JUL1460CE,0
NSE,65264,360ONE26JUL1520CE,NSE-360ONE-28Jul26-1520-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1520,500,0.05,20001,1,1,1,360ONE26JUL1520CE,0
NSE,66726,360ONE26JUL1180PE,NSE-360ONE-28Jul26-1180-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1180,500,0.05,20001,0,1,1,360ONE26JUL1180PE,0
NSE,38075,360ONE26AUG1600CE,NSE-360ONE-25Aug26-1600-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1600,500,0.05,20001,1,1,1,360ONE26AUG1600CE,0
NSE,77720,360ONE26SEP1280CE,NSE-360ONE-29Sep26-1280-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1280,500,0.05,20001,0,1,1,360ONE26SEP1280CE,0
NSE,65227,360ONE26JUL880PE,NSE-360ONE-28Jul26-880-PE,,PE,FNO,,,360ONE,13061,2026-07-28,880,500,0.05,20001,0,1,1,360ONE26JUL880PE,0
NSE,77665,360ONE26SEP1000CE,NSE-360ONE-29Sep26-1000-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1000,500,0.05,20001,0,1,1,360ONE26SEP1000CE,0
NSE,77725,360ONE26SEP1360PE,NSE-360ONE-29Sep26-1360-PE,,PE,FNO,,,360ONE,13061,2026-09-29,1360,500,0.05,20001,1,1,1,360ONE26SEP1360PE,0
NSE,77362,360ONE26AUG1020PE,NSE-360ONE-25Aug26-1020-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1020,500,0.05,20001,0,1,1,360ONE26AUG1020PE,0
NSE,35117,360ONE26AUG700PE,NSE-360ONE-25Aug26-700-PE,,PE,FNO,,,360ONE,13061,2026-08-25,700,500,0.05,20001,1,1,1,360ONE26AUG700PE,0
NSE,66714,360ONE26JUL940PE,NSE-360ONE-28Jul26-940-PE,,PE,FNO,,,360ONE,13061,2026-07-28,940,500,0.05,20001,0,1,1,360ONE26JUL940PE,0
NSE,66853,360ONE26AUG1480PE,NSE-360ONE-25Aug26-1480-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1480,500,0.05,20001,1,1,1,360ONE26AUG1480PE,0
NSE,66784,360ONE26AUG800CE,NSE-360ONE-25Aug26-800-CE,,CE,FNO,,,360ONE,13061,2026-08-25,800,500,0.05,20001,1,1,1,360ONE26AUG800CE,0
