date,strike,CE_LTP,CE_IV,CE_OI,CE_Volume,PE_LTP,PE_IV,PE_OI,PE_Volume,spot
2023-01-06,39700,1361.41,15.32,41376,7662,308.03,20.32,32916,10283,40745.89
2023-01-06,39800,1434.92,20.34,57706,18926,484.23,24.84,49850,12591,40745.89
2023-01-06,39900,1230.07,16.07,123246,36763,357.73,20.07,74903,20672,40745.89
2023-01-06,40000,1284.72,19.96,102996,26123,505.2,23.46,135734,26646,40745.89
2023-01-06,40100,1058.78,15.2,334120,62436,358.66,18.2,337128,51573,40745.89
2023-01-06,40200,1045.03,16.83,400050,110056,431.92,19.33,367692,122597,40745.89
2023-01-06,40300,1056.81,18.99,558977,165541,528.44,20.99,198515,40809,40745.89
2023-01-06,40400,973.86,18.38,839042,214298,527.9,19.88,748067,122905,40745.89
2023-01-06,40500,860.18,16.9,873412,161342,496.0,17.9,584825,124303,40745.89
2023-01-06,40600,668.62,13.29,506844,123498,385.74,13.79,1512166,265442,40745.89
2023-01-06,40700,658.77,14.55,605966,160686,457.07,14.55,713691,168045,40745.89
2023-01-06,40800,732.87,17.91,345439,107847,645.95,18.31,731822,182880,40745.89
2023-01-06,40900,661.46,17.35,437838,100365,689.42,18.15,508042,78465,40745.89
2023-01-06,41000,543.76,15.52,730308,173130,686.53,16.72,616143,152266,40745.89
2023-01-06,41100,506.11,15.71,312145,51213,763.42,17.31,394258,97648,40745.89
2023-01-06,41200,480.23,16.16,498721,105010,851.74,18.16,293750,44408,40745.89
2023-01-06,41300,468.79,16.94,150648,31767,954.18,19.34,182895,58190,40745.89
2023-01-06,41400,469.49,18.0,103429,22496,1068.52,20.8,137091,42830,40745.89
2023-01-06,41500,396.47,16.99,78921,14011,1107.65,20.19,145938,34277,40745.89
2023-01-06,41600,226.82,13.01,75653,11806,1044.11,16.61,36306,9506,40745.89
2023-01-06,41700,250.03,14.57,35500,7883,1180.02,18.57,25676,7140,40745.89
2023-01-13,40700,1822.24,20.59,23891,4295,795.22,25.59,34886,10397,41677.54
2023-01-13,40800,1569.46,16.56,87499,19611,612.94,21.06,90458,19512,41677.54
2023-01-13,40900,1581.57,18.28,64760,22155,707.42,22.28,139961,36207,41677.54
2023-01-13,41000,1526.34,18.48,170927,30596,730.07,21.98,133636,32394,41677.54
2023-01-13,41100,1407.15,17.33,176280,44208,686.63,20.33,253701,71525,41677.54
2023-01-13,41200,1248.26,15.37,246868,72820,602.57,17.87,265313,41618,41677.54
2023-01-13,41300,1402.87,19.69,340005,113379,835.14,21.69,435687,72357,41677.54
2023-01-13,41400,1295.8,18.73,421747,129448,802.43,20.23,464787,152954,41677.54
2023-01-13,41500,1106.92,16.16,611359,93573,687.37,17.16,874823,192316,41677.54
2023-01-13,41600,1102.0,17.16,550675,184749,756.32,17.66,702682,170911,41677.54
2023-01-13,41700,895.48,14.24,445096,78773,623.09,14.24,617499,203730,41677.54
2023-01-13,41800,863.64,14.65,592681,178924,711.58,15.05,345113,57871,41677.54
2023-01-13,41900,956.44,17.38,749115,133794,924.91,18.18,818741,229684,41677.54
2023-01-13,42000,805.2,15.45,484871,117243,894.21,16.65,657476,189559,41677.54
2023-01-13,42100,855.61,17.29,516516,134384,1065.07,18.89,625797,121281,41677.54
2023-01-13,42200,728.73,15.75,565302,170309,1058.39,17.75,269828,54747,41677.54
2023-01-13,42300,608.17,14.28,106489,25372,1057.47,16.68,171780,57395,41677.54
2023-01-13,42400,710.84,17.04,220646,42474,1280.22,19.84,179930,29351,41677.54
2023-01-13,42500,446.22,12.68,84824,25911,1132.24,15.88,99848,19560,41677.54
2023-01-13,42600,508.62,14.63,26714,4952,1314.18,18.23,40119,8168,41677.54
2023-01-13,42700,598.26,17.11,47076,11408,1523.88,21.11,56198,12194,41677.54
2023-01-20,40300,1739.25,19.12,66159,11842,695.79,24.12,36038,10505,41294.77
2023-01-20,40400,1595.83,17.44,50043,7783,628.61,21.94,48861,14425,41294.77
2023-01-20,40500,1670.41,20.51,130746,23863,787.32,24.51,80701,15540,41294.77
2023-01-20,40600,1416.16,16.45,106910,36830,605.85,19.95,169608,42748,41294.77
2023-01-20,40700,1442.13,18.38,196987,33794,712.01,21.38,83772,21976,41294.77
2023-01-20,40800,1402.8,18.85,294523,101975,749.71,21.35,336728,52415,41294.77
2023-01-20,40900,1127.4,14.44,410169,96868,548.01,16.44,641503,104453,41294.77
2023-01-20,41000,1106.63,15.28,476878,143610,603.85,16.78,503836,124852,41294.77
2023-01-20,41100,1201.92,18.35,417684,129981,774.8,19.35,234708,43955,41294.77
2023-01-20,41200,1155.49,18.54,478335,91825,802.68,19.04,1187105,233324,41294.77
2023-01-20,41300,958.57,15.74,683267,150579,679.64,15.74,594541,178489,41294.77
2023-01-20,41400,1033.74,18.23,710610,117852,874.71,18.63,525085,86984,41294.77
2023-01-20,41500,920.99,17.03,745101,152627,881.99,17.83,694542,122062,41294.77
2023-01-20,41600,886.25,17.31,522337,129796,967.33,18.51,459804,69704,41294.77
2023-01-20,41700,645.98,13.58,224754,45875,847.01,15.18,557978,92108,41294.77
