date,strike,CE_LTP,CE_IV,CE_OI,CE_Volume,PE_LTP,PE_IV,PE_OI,PE_Volume,spot
2023-01-06,18900,638.02,15.32,41376,7662,149.93,20.32,32916,10283,19385.28
2023-01-06,18950,672.31,20.34,57706,18926,235.25,24.84,49850,12591,19385.28
2023-01-06,19000,572.65,16.07,123246,36763,175.5,20.07,74903,20672,19385.28
2023-01-06,19050,598.13,19.96,102996,26123,247.3,23.46,135734,26646,19385.28
2023-01-06,19100,488.39,15.2,334120,62436,177.95,18.2,337128,51573,19385.28
2023-01-06,19150,481.2,16.83,400050,110056,214.37,19.33,367692,122597,19385.28
2023-01-06,19200,486.3,18.99,558977,165541,262.01,20.99,198515,40809,19385.28
2023-01-06,19250,445.88,18.38,839042,214298,263.13,19.88,748067,122905,19385.28
2023-01-06,19300,390.83,16.9,873412,161342,249.32,17.9,584825,124303,19385.28
2023-01-06,19350,298.48,13.29,506844,123498,198.0,13.79,1512166,265442,19385.28
2023-01-06,19400,293.74,14.55,605966,160686,234.2,14.55,713691,168045,19385.28
2023-01-06,19450,329.02,17.91,345439,107847,326.52,18.31,731822,182880,19385.28
2023-01-06,19500,294.81,17.35,437838,100365,349.36,18.15,508042,78465,19385.28
2023-01-06,19550,238.86,15.52,730308,173130,350.35,16.72,616143,152266,19385.28
2023-01-06,19600,221.07,15.71,312145,51213,389.32,17.31,394258,97648,19385.28
2023-01-06,19650,208.89,16.16,498721,105010,433.71,18.16,293750,44408,19385.28
2023-01-06,19700,203.52,16.94,150648,31767,484.73,19.34,182895,58190,19385.28
2023-01-06,19750,203.8,18.0,103429,22496,541.31,20.8,137091,42830,19385.28
2023-01-06,19800,169.83,16.99,78921,14011,562.68,20.19,145938,34277,19385.28
2023-01-06,19850,92.33,13.01,75653,11806,536.79,16.61,36306,9506,19385.28
2023-01-06,19900,102.9,14.57,35500,7883,603.3,18.57,25676,7140,19385.28
2023-01-13,18750,866.42,20.59,23891,4295,353.49,25.59,34886,10397,19238.94
2023-01-13,18800,748.07,16.56,87499,19611,271.4,21.06,90458,19512,19238.94
2023-01-13,18850,749.94,18.28,64760,22155,315.63,22.28,139961,36207,19238.94
2023-01-13,18900,721.44,18.48,170927,30596,327.18,21.98,133636,32394,19238.94
2023-01-13,18950,663.81,17.33,176280,44208,308.5,20.33,253701,71525,19238.94
2023-01-13,19000,588.02,15.37,246868,72820,271.19,17.87,265313,41618,19238.94
2023-01-13,19050,656.2,19.69,340005,113379,379.42,21.69,435687,72357,19238.94
2023-01-13,19100,604.41,18.73,421747,129448,365.83,20.23,464787,152954,19238.94
2023-01-13,19150,514.99,16.16,611359,93573,314.34,17.16,874823,192316,19238.94
2023-01-13,19200,510.43,17.16,550675,184749,347.73,17.66,702682,170911,19238.94
2023-01-13,19250,412.99,14.24,445096,78773,287.94,14.24,617499,203730,19238.94
2023-01-13,19300,396.3,14.65,592681,178924,330.62,15.05,345113,57871,19238.94
2023-01-13,19350,437.35,17.38,749115,133794,431.12,18.18,818741,229684,19238.94
2023-01-13,19400,365.84,15.45,484871,117243,419.05,16.65,657476,189559,19238.94
2023-01-13,19450,387.56,17.29,516516,134384,500.17,18.89,625797,121281,19238.94
2023-01-13,19500,327.64,15.75,565302,170309,499.48,17.75,269828,54747,19238.94
2023-01-13,19550,270.88,14.28,106489,25372,501.64,16.68,171780,57395,19238.94
