date,strike,CE_LTP,CE_IV,CE_OI,CE_Volume,PE_LTP,PE_IV,PE_OI,PE_Volume,spot
2023-01-06,1100,487.41,15.32,41376,7662,0.05,20.32,32916,10283,1583.2
2023-01-06,1150,437.6,20.34,57706,18926,0.05,24.84,49850,12591,1583.2
2023-01-06,1200,387.79,16.07,123246,36763,0.05,20.07,74903,20672,1583.2
2023-01-06,1250,337.99,19.96,102996,26123,0.05,23.46,135734,26646,1583.2
2023-01-06,1300,288.18,15.2,334120,62436,0.05,18.2,337128,51573,1583.2
2023-01-06,1350,238.37,16.83,400050,110056,0.05,19.33,367692,122597,1583.2
2023-01-06,1400,188.6,18.99,558977,165541,0.11,20.99,198515,40809,1583.2
2023-01-06,1450,139.14,18.38,839042,214298,0.65,19.88,748067,122905,1583.2
2023-01-06,1500,90.89,16.9,873412,161342,2.47,17.9,584825,124303,1583.2
2023-01-06,1550,44.93,13.29,506844,123498,6.33,13.79,1512166,265442,1583.2
2023-01-06,1600,16.66,14.55,605966,160686,27.33,14.55,713691,168045,1583.2
2023-01-06,1650,6.86,17.91,345439,107847,67.75,18.31,731822,182880,1583.2
2023-01-06,1700,1.35,17.35,437838,100365,111.97,18.15,508042,78465,1583.2
2023-01-06,1750,0.07,15.52,730308,173130,160.25,16.72,616143,152266,1583.2
2023-01-06,1800,0.05,15.71,312145,51213,209.93,17.31,394258,97648,1583.2
2023-01-06,1850,0.05,16.16,498721,105010,259.72,18.16,293750,44408,1583.2
2023-01-06,1900,0.05,16.94,150648,31767,309.53,19.34,182895,58190,1583.2
2023-01-06,1950,0.05,18.0,103429,22496,359.34,20.8,137091,42830,1583.2
2023-01-06,2000,0.05,16.99,78921,14011,409.14,20.19,145938,34277,1583.2
2023-01-06,2050,0.05,13.01,75653,11806,458.95,16.61,36306,9506,1583.2
2023-01-06,2100,0.05,14.57,35500,7883,508.76,18.57,25676,7140,1583.2
2023-01-13,1050,497.28,20.59,23891,4295,0.05,25.59,34886,10397,1539.86
2023-01-13,1100,447.64,16.56,87499,19611,0.05,21.06,90458,19512,1539.86
2023-01-13,1150,397.99,18.28,64760,22155,0.05,22.28,139961,36207,1539.86
2023-01-13,1200,348.35,18.48,170927,30596,0.05,21.98,133636,32394,1539.86
2023-01-13,1250,298.7,17.33,176280,44208,0.05,20.33,253701,71525,1539.86
2023-01-13,1300,249.05,15.37,246868,72820,0.05,17.87,265313,41618,1539.86
2023-01-13,1350,199.83,19.69,340005,113379,0.82,21.69,435687,72357,1539.86
2023-01-13,1400,151.29,18.73,421747,129448,2.25,20.23,464787,152954,1539.86
2023-01-13,1450,103.55,16.16,611359,93573,4.29,17.16,874823,192316,1539.86
2023-01-13,1500,64.19,17.16,550675,184749,14.53,17.66,702682,170911,1539.86
2023-01-13,1550,28.26,14.24,445096,78773,27.44,14.24,617499,203730,1539.86
2023-01-13,1600,10.98,14.65,592681,178924,60.45,15.05,345113,57871,1539.86
2023-01-13,1650,5.79,17.38,749115,133794,105.15,18.18,818741,229684,1539.86
2023-01-13,1700,0.95,15.45,484871,117243,149.56,16.65,657476,189559,1539.86
2023-01-13,1750,0.45,17.29,516516,134384,198.58,18.89,625797,121281,1539.86
2023-01-13,1800,0.05,15.75,565302,170309,247.53,17.75,269828,54747,1539.86
2023-01-13,1850,0.05,14.28,106489,25372,297.07,16.68,171780,57395,1539.86
2023-01-13,1900,0.05,17.04,220646,42474,346.72,19.84,179930,29351,1539.86
2023-01-13,1950,0.05,12.68,84824,25911,396.35,15.88,99848,19560,1539.86
2023-01-13,2000,0.05,14.63,26714,4952,446.0,18.23,40119,8168,1539.86
2023-01-13,2050,0.05,17.11,47076,11408,495.65,21.11,56198,12194,1539.86
2023-01-20,1100,516.36,19.12,66159,11842,0.05,24.12,36038,10505,1608.79
2023-01-20,1150,466.7,17.44,50043,7783,0.05,21.94,48861,14425,1608.79
2023-01-20,1200,417.05,20.51,130746,23863,0.05,24.51,80701,15540,1608.79
2023-01-20,1250,367.39,16.45,106910,36830,0.05,19.95,169608,42748,1608.79
2023-01-20,1300,317.74,18.38,196987,33794,0.05,21.38,83772,21976,1608.79
2023-01-20,1350,268.1,18.85,294523,101975,0.1,21.35,336728,52415,1608.79
2023-01-20,1400,218.43,14.44,410169,96868,0.05,16.44,641503,104453,1608.79
2023-01-20,1450,169.03,15.28,476878,143610,0.51,16.78,503836,124852,1608.79
2023-01-20,1500,122.88,18.35,417684,129981,4.61,19.35,234708,43955,1608.79
2023-01-20,1550,81.3,18.54,478335,91825,12.59,19.04,1187105,233324,1608.79
2023-01-20,1600,42.41,15.74,683267,150579,22.61,15.74,594541,178489,1608.79
2023-01-20,1650,24.06,18.23,710610,117852,54.69,18.63,525085,86984,1608.79
2023-01-20,1700,8.82,17.03,745101,152627,89.45,17.83,694542,122062,1608.79
2023-01-20,1750,3.18,17.31,522337,129796,133.33,18.51,459804,69704,1608.79
2023-01-20,1800,0.16,13.58,224754,45875,179.21,15.18,557978,92108,1608.79
2023-01-20,1850,0.28,17.77,216916,71526,229.1,19.77,176670,48113,1608.79
2023-01-20,1900,0.05,16.49,142281,29684,278.25,18.89,319912,104723,1608.79
2023-01-20,1950,0.05,14.51,178103,46436,327.8,17.31,180562,46517,1608.79
2023-01-20,2000,0.05,14.79,51884,11747,377.45,17.99,91618,28018,1608.79
2023-01-20,2050,0.05,13.02,73694,24791,427.11,16.62,35451,8047,1608.79
2023-01-20,2100,0.05,13.94,27540,9515,476.76,17.94,34356,11534,1608.79
2023-01-27,1100,505.52,18.99,22997,3833,0.05,23.99,32288,5429,1599.42
2023-01-27,1150,455.8,18.94,25609,3846,0.05,23.44,57532,18166,1599.42
2023-01-27,1200,406.08,19.58,39890,7113,0.05,23.58,139690,25514,1599.42
2023-01-27,1250,356.35,18.67,137899,35128,0.05,22.17,76125,25737,1599.42
2023-01-27,1300,306.63,18.93,175199,60605,0.05,21.93,184110,57765,1599.42
2023-01-27,1350,256.91,14.6,534953,116231,0.05,17.1,244423,47390,1599.42
2023-01-27,1400,207.19,14.11,298472,72389,0.05,16.11,402050,123307,1599.42
2023-01-27,1450,157.66,15.53,504360,125113,0.4,17.03,801731,159407,1599.42
2023-01-27,1500,111.46,18.97,610929,134052,4.5,19.97,506271,83134,1599.42
2023-01-27,1550,64.9,14.91,614261,164815,7.5,15.41,683281,203611,1599.42
2023-01-27,1600,35.63,17.46,668086,121237,27.34,17.46,1026285,303634,1599.42
2023-01-27,1650,10.7,14.49,183328,27734,52.73,14.89,731193,234960,1599.42
2023-01-27,1700,5.06,17.24,515132,141560,97.0,18.04,555121,188585,1599.42
2023-01-27,1750,0.26,13.27,639086,109035,141.35,14.47,745968,248818,1599.42
2023-01-27,1800,0.3,17.32,407854,95061,191.16,18.92,249538,85063,1599.42
2023-01-27,1850,0.05,14.48,681323,220482,240.35,16.48,314937,89490,1599.42
2023-01-27,1900,0.05,14.58,326838,86666,290.05,16.98,240736,73035,1599.42
2023-01-27,1950,0.05,18.06,180399,59555,339.78,20.86,116288,33631,1599.42
2023-01-27,2000,0.05,17.87,86837,25695,389.49,21.07,140135,47603,1599.42
2023-01-27,2050,0.05,12.29,17505,4040,439.21,15.89,48437,16159,1599.42
2023-01-27,2100,0.05,14.01,26303,8821,488.93,18.01,23127,5174,1599.42
2023-02-03,1100,503.93,17.51,21832,4721,0.05,22.51,29551,6170,1598.04
2023-02-03,1150,454.2,17.24,63083,16048,0.05,21.74,67109,19598,1598.04
2023-02-03,1200,404.47,14.76,77137,25565,0.05,18.76,127177,41129,1598.04
2023-02-03,1250,354.73,18.64,240602,69473,0.05,22.14,109223,30366,1598.04
2023-02-03,1300,305.0,19.32,201478,64634,0.05,22.32,251767,67383,1598.04
2023-02-03,1350,255.27,14.0,234045,51124,0.05,16.5,367312,117030,1598.04
2023-02-03,1400,205.58,17.42,211772,35706,0.13,19.42,462607,146904,1598.04
2023-02-03,1450,156.28,17.58,632270,115117,0.8,19.08,514469,115554,1598.04
2023-02-03,1500,108.95,17.87,292416,96458,3.56,18.87,705929,204934,1598.04
2023-02-03,1550,61.89,13.75,620427,152432,6.12,14.25,948072,312266,1598.04
2023-02-03,1600,29.97,15.06,288379,91572,23.36,15.06,1200008,236569,1598.04
2023-02-03,1650,12.15,16.04,564317,148246,55.87,16.44,674519,141209,1598.04
