date,strike,CE_LTP,CE_IV,CE_OI,CE_Volume,PE_LTP,PE_IV,PE_OI,PE_Volume,spot
2023-01-06,450,490.42,15.32,41376,7662,0.05,20.32,32916,10283,938.7
2023-01-06,500,440.61,20.34,57706,18926,0.05,24.84,49850,12591,938.7
2023-01-06,550,390.81,16.07,123246,36763,0.05,20.07,74903,20672,938.7
2023-01-06,600,341.0,19.96,102996,26123,0.05,23.46,135734,26646,938.7
2023-01-06,650,291.19,15.2,334120,62436,0.05,18.2,337128,51573,938.7
2023-01-06,700,241.38,16.83,400050,110056,0.05,19.33,367692,122597,938.7
2023-01-06,750,191.57,18.99,558977,165541,0.05,20.99,198515,40809,938.7
2023-01-06,800,141.76,18.38,839042,214298,0.05,19.88,748067,122905,938.7
2023-01-06,850,92.0,16.9,873412,161342,0.08,17.9,584825,124303,938.7
2023-01-06,900,43.03,13.29,506844,123498,1.03,13.79,1512166,265442,938.7
2023-01-06,950,9.33,14.55,605966,160686,17.0,14.55,713691,168045,938.7
2023-01-06,1000,1.43,17.91,345439,107847,59.04,18.31,731822,182880,938.7
2023-01-06,1050,0.05,17.35,437838,100365,107.35,18.15,508042,78465,938.7
2023-01-06,1100,0.05,15.52,730308,173130,157.09,16.72,616143,152266,938.7
2023-01-06,1150,0.05,15.71,312145,51213,206.9,17.31,394258,97648,938.7
2023-01-06,1200,0.05,16.16,498721,105010,256.71,18.16,293750,44408,938.7
2023-01-06,1250,0.05,16.94,150648,31767,306.51,19.34,182895,58190,938.7
2023-01-06,1300,0.05,18.0,103429,22496,356.32,20.8,137091,42830,938.7
2023-01-06,1350,0.05,16.99,78921,14011,406.13,20.19,145938,34277,938.7
2023-01-06,1400,0.05,13.01,75653,11806,455.94,16.61,36306,9506,938.7
2023-01-06,1450,0.05,14.57,35500,7883,505.75,18.57,25676,7140,938.7
2023-01-13,400,512.19,20.59,23891,4295,0.05,25.59,34886,10397,909.36
2023-01-13,450,462.54,16.56,87499,19611,0.05,21.06,90458,19512,909.36
2023-01-13,500,412.9,18.28,64760,22155,0.05,22.28,139961,36207,909.36
2023-01-13,550,363.25,18.48,170927,30596,0.05,21.98,133636,32394,909.36
2023-01-13,600,313.6,17.33,176280,44208,0.05,20.33,253701,71525,909.36
2023-01-13,650,263.96,15.37,246868,72820,0.05,17.87,265313,41618,909.36
2023-01-13,700,214.31,19.69,340005,113379,0.05,21.69,435687,72357,909.36
2023-01-13,750,164.67,18.73,421747,129448,0.05,20.23,464787,152954,909.36
2023-01-13,800,115.08,16.16,611359,93573,0.1,17.16,874823,192316,909.36
2023-01-13,850,67.26,17.16,550675,184749,2.12,17.66,702682,170911,909.36
2023-01-13,900,25.36,14.24,445096,78773,9.64,14.24,617499,203730,909.36
2023-01-13,950,5.33,14.65,592681,178924,39.6,15.05,345113,57871,909.36
2023-01-13,1000,1.25,17.38,749115,133794,85.11,18.18,818741,229684,909.36
2023-01-13,1050,0.05,15.45,484871,117243,133.3,16.65,657476,189559,909.36
2023-01-13,1100,0.05,17.29,516516,134384,182.88,18.89,625797,121281,909.36
2023-01-13,1150,0.05,15.75,565302,170309,232.51,17.75,269828,54747,909.36
2023-01-13,1200,0.05,14.28,106489,25372,282.16,16.68,171780,57395,909.36
2023-01-13,1250,0.05,17.04,220646,42474,331.8,19.84,179930,29351,909.36
2023-01-13,1300,0.05,12.68,84824,25911,381.45,15.88,99848,19560,909.36
2023-01-13,1350,0.05,14.63,26714,4952,431.09,18.23,40119,8168,909.36
2023-01-13,1400,0.05,17.11,47076,11408,480.74,21.11,56198,12194,909.36
2023-01-20,450,509.59,19.12,66159,11842,0.05,24.12,36038,10505,956.49
2023-01-20,500,459.93,17.44,50043,7783,0.05,21.94,48861,14425,956.49
2023-01-20,550,410.27,20.51,130746,23863,0.05,24.51,80701,15540,956.49
2023-01-20,600,360.62,16.45,106910,36830,0.05,19.95,169608,42748,956.49
2023-01-20,650,310.96,18.38,196987,33794,0.05,21.38,83772,21976,956.49
2023-01-20,700,261.31,18.85,294523,101975,0.05,21.35,336728,52415,956.49
2023-01-20,750,211.65,14.44,410169,96868,0.05,16.44,641503,104453,956.49
2023-01-20,800,161.99,15.28,476878,143610,0.05,16.78,503836,124852,956.49
2023-01-20,850,112.62,18.35,417684,129981,0.4,19.35,234708,43955,956.49
2023-01-20,900,65.93,18.54,478335,91825,3.55,19.04,1187105,233324,956.49
2023-01-20,950,25.96,15.74,683267,150579,12.93,15.74,594541,178489,956.49
2023-01-20,1000,8.58,18.23,710610,117852,45.6,18.63,525085,86984,956.49
2023-01-20,1050,1.2,17.03,745101,152627,87.77,17.83,694542,122062,956.49
2023-01-20,1100,0.13,17.31,522337,129796,136.17,18.51,459804,69704,956.49
2023-01-20,1150,0.05,13.58,224754,45875,185.6,15.18,557978,92108,956.49
2023-01-20,1200,0.05,17.77,216916,71526,235.26,19.77,176670,48113,956.49
2023-01-20,1250,0.05,16.49,142281,29684,284.91,18.89,319912,104723,956.49
2023-01-20,1300,0.05,14.51,178103,46436,334.57,17.31,180562,46517,956.49
2023-01-20,1350,0.05,14.79,51884,11747,384.22,17.99,91618,28018,956.49
2023-01-20,1400,0.05,13.02,73694,24791,433.88,16.62,35451,8047,956.49
2023-01-20,1450,0.05,13.94,27540,9515,483.53,17.94,34356,11534,956.49
2023-01-27,450,502.75,18.99,22997,3833,0.05,23.99,32288,5429,950.25
2023-01-27,500,453.02,18.94,25609,3846,0.05,23.44,57532,18166,950.25
2023-01-27,550,403.3,19.58,39890,7113,0.05,23.58,139690,25514,950.25
2023-01-27,600,353.58,18.67,137899,35128,0.05,22.17,76125,25737,950.25
2023-01-27,650,303.86,18.93,175199,60605,0.05,21.93,184110,57765,950.25
2023-01-27,700,254.13,14.6,534953,116231,0.05,17.1,244423,47390,950.25
2023-01-27,750,204.41,14.11,298472,72389,0.05,16.11,402050,123307,950.25
2023-01-27,800,154.69,15.53,504360,125113,0.05,17.03,801731,159407,950.25
2023-01-27,850,105.21,18.97,610929,134052,0.35,19.97,506271,83134,950.25
2023-01-27,900,56.59,14.91,614261,164815,1.54,15.41,683281,203611,950.25
2023-01-27,950,21.49,17.46,668086,121237,15.97,17.46,1026285,303634,950.25
2023-01-27,1000,2.66,14.49,183328,27734,47.1,14.89,731193,234960,950.25
2023-01-27,1050,0.48,17.24,515132,141560,94.56,18.04,555121,188585,950.25
2023-01-27,1100,0.05,13.27,639086,109035,143.65,14.47,745968,248818,950.25
2023-01-27,1150,0.05,17.32,407854,95061,193.38,18.92,249538,85063,950.25
2023-01-27,1200,0.05,14.48,681323,220482,243.09,16.48,314937,89490,950.25
2023-01-27,1250,0.05,14.58,326838,86666,292.82,16.98,240736,73035,950.25
2023-01-27,1300,0.05,18.06,180399,59555,342.54,20.86,116288,33631,950.25
2023-01-27,1350,0.05,17.87,86837,25695,392.26,21.07,140135,47603,950.25
2023-01-27,1400,0.05,12.29,17505,4040,441.99,15.89,48437,16159,950.25
2023-01-27,1450,0.05,14.01,26303,8821,491.71,18.01,23127,5174,950.25
2023-02-03,450,501.88,17.51,21832,4721,0.05,22.51,29551,6170,949.47
2023-02-03,500,452.15,17.24,63083,16048,0.05,21.74,67109,19598,949.47
