date,strike,CE_LTP,CE_IV,CE_OI,CE_Volume,PE_LTP,PE_IV,PE_OI,PE_Volume,spot
2023-01-06,950,486.21,15.32,41376,7662,0.05,20.32,32916,10283,1432.57
2023-01-06,1000,436.4,20.34,57706,18926,0.05,24.84,49850,12591,1432.57
2023-01-06,1050,386.59,16.07,123246,36763,0.05,20.07,74903,20672,1432.57
2023-01-06,1100,336.78,19.96,102996,26123,0.05,23.46,135734,26646,1432.57
2023-01-06,1150,286.97,15.2,334120,62436,0.05,18.2,337128,51573,1432.57
2023-01-06,1200,237.16,16.83,400050,110056,0.05,19.33,367692,122597,1432.57
2023-01-06,1250,187.37,18.99,558977,165541,0.05,20.99,198515,40809,1432.57
2023-01-06,1300,137.73,18.38,839042,214298,0.34,19.88,748067,122905,1432.57
2023-01-06,1350,89.02,16.9,873412,161342,1.67,17.9,584825,124303,1432.57
2023-01-06,1400,42.65,13.29,506844,123498,5.19,13.79,1512166,265442,1432.57
2023-01-06,1450,14.17,14.55,605966,160686,26.05,14.55,713691,168045,1432.57
2023-01-06,1500,5.06,17.91,345439,107847,67.08,18.31,731822,182880,1432.57
2023-01-06,1550,0.77,17.35,437838,100365,112.48,18.15,508042,78465,1432.57
2023-01-06,1600,0.05,15.52,730308,173130,161.36,16.72,616143,152266,1432.57
2023-01-06,1650,0.05,15.71,312145,51213,211.12,17.31,394258,97648,1432.57
2023-01-06,1700,0.05,16.16,498721,105010,260.92,18.16,293750,44408,1432.57
2023-01-06,1750,0.05,16.94,150648,31767,310.73,19.34,182895,58190,1432.57
2023-01-06,1800,0.05,18.0,103429,22496,360.54,20.8,137091,42830,1432.57
2023-01-06,1850,0.05,16.99,78921,14011,410.35,20.19,145938,34277,1432.57
2023-01-06,1900,0.05,13.01,75653,11806,460.16,16.61,36306,9506,1432.57
2023-01-06,1950,0.05,14.57,35500,7883,509.96,18.57,25676,7140,1432.57
2023-01-13,900,495.19,20.59,23891,4295,0.05,25.59,34886,10397,1388.83
2023-01-13,950,445.55,16.56,87499,19611,0.05,21.06,90458,19512,1388.83
2023-01-13,1000,395.9,18.28,64760,22155,0.05,22.28,139961,36207,1388.83
2023-01-13,1050,346.25,18.48,170927,30596,0.05,21.98,133636,32394,1388.83
2023-01-13,1100,296.61,17.33,176280,44208,0.05,20.33,253701,71525,1388.83
2023-01-13,1150,246.96,15.37,246868,72820,0.05,17.87,265313,41618,1388.83
2023-01-13,1200,197.51,19.69,340005,113379,0.41,21.69,435687,72357,1388.83
2023-01-13,1250,148.57,18.73,421747,129448,1.38,20.23,464787,152954,1388.83
2023-01-13,1300,100.43,16.16,611359,93573,3.06,17.16,874823,192316,1388.83
2023-01-13,1350,59.97,17.16,550675,184749,12.3,17.66,702682,170911,1388.83
2023-01-13,1400,24.5,14.24,445096,78773,25.77,14.24,617499,203730,1388.83
2023-01-13,1450,8.33,14.65,592681,178924,59.79,15.05,345113,57871,1388.83
2023-01-13,1500,3.91,17.38,749115,133794,105.16,18.18,818741,229684,1388.83
2023-01-13,1550,0.48,15.45,484871,117243,150.99,16.65,657476,189559,1388.83
2023-01-13,1600,0.2,17.29,516516,134384,200.25,18.89,625797,121281,1388.83
2023-01-13,1650,0.05,15.75,565302,170309,249.55,17.75,269828,54747,1388.83
2023-01-13,1700,0.05,14.28,106489,25372,299.15,16.68,171780,57395,1388.83
2023-01-13,1750,0.05,17.04,220646,42474,348.8,19.84,179930,29351,1388.83
2023-01-13,1800,0.05,12.68,84824,25911,398.44,15.88,99848,19560,1388.83
2023-01-13,1850,0.05,14.63,26714,4952,448.09,18.23,40119,8168,1388.83
2023-01-13,1900,0.05,17.11,47076,11408,497.74,21.11,56198,12194,1388.83
2023-01-20,950,513.2,19.12,66159,11842,0.05,24.12,36038,10505,1456.66
2023-01-20,1000,463.54,17.44,50043,7783,0.05,21.94,48861,14425,1456.66
2023-01-20,1050,413.88,20.51,130746,23863,0.05,24.51,80701,15540,1456.66
2023-01-20,1100,364.23,16.45,106910,36830,0.05,19.95,169608,42748,1456.66
2023-01-20,1150,314.57,18.38,196987,33794,0.05,21.38,83772,21976,1456.66
2023-01-20,1200,264.92,18.85,294523,101975,0.05,21.35,336728,52415,1456.66
2023-01-20,1250,215.26,14.44,410169,96868,0.05,16.44,641503,104453,1456.66
2023-01-20,1300,165.73,15.28,476878,143610,0.27,16.78,503836,124852,1456.66
2023-01-20,1350,118.66,18.35,417684,129981,3.36,19.35,234708,43955,1456.66
2023-01-20,1400,76.25,18.54,478335,91825,10.61,19.04,1187105,233324,1456.66
2023-01-20,1450,37.64,15.74,683267,150579,21.01,15.74,594541,178489,1456.66
2023-01-20,1500,19.69,18.23,710610,117852,53.39,18.63,525085,86984,1456.66
2023-01-20,1550,6.27,17.03,745101,152627,89.85,17.83,694542,122062,1456.66
2023-01-20,1600,1.92,17.31,522337,129796,134.95,18.51,459804,69704,1456.66
2023-01-20,1650,0.06,13.58,224754,45875,182.15,15.18,557978,92108,1456.66
2023-01-20,1700,0.11,17.77,216916,71526,231.93,19.77,176670,48113,1456.66
2023-01-20,1750,0.05,16.49,142281,29684,281.34,18.89,319912,104723,1456.66
2023-01-20,1800,0.05,14.51,178103,46436,330.96,17.31,180562,46517,1456.66
2023-01-20,1850,0.05,14.79,51884,11747,380.61,17.99,91618,28018,1456.66
2023-01-20,1900,0.05,13.02,73694,24791,430.27,16.62,35451,8047,1456.66
2023-01-20,1950,0.05,13.94,27540,9515,479.92,17.94,34356,11534,1456.66
2023-01-27,950,501.91,18.99,22997,3833,0.05,23.99,32288,5429,1446.64
2023-01-27,1000,452.19,18.94,25609,3846,0.05,23.44,57532,18166,1446.64
2023-01-27,1050,402.46,19.58,39890,7113,0.05,23.58,139690,25514,1446.64
2023-01-27,1100,352.74,18.67,137899,35128,0.05,22.17,76125,25737,1446.64
2023-01-27,1150,303.02,18.93,175199,60605,0.05,21.93,184110,57765,1446.64
2023-01-27,1200,253.3,14.6,534953,116231,0.05,17.1,244423,47390,1446.64
2023-01-27,1250,203.57,14.11,298472,72389,0.05,16.11,402050,123307,1446.64
2023-01-27,1300,153.95,15.53,504360,125113,0.21,17.03,801731,159407,1446.64
2023-01-27,1350,106.88,18.97,610929,134052,3.37,19.97,506271,83134,1446.64
2023-01-27,1400,60.27,14.91,614261,164815,6.4,15.41,683281,203611,1446.64
2023-01-27,1450,30.75,17.46,668086,121237,26.07,17.46,1026285,303634,1446.64
2023-01-27,1500,7.86,14.49,183328,27734,53.41,14.89,731193,234960,1446.64
2023-01-27,1550,3.26,17.24,515132,141560,98.62,18.04,555121,188585,1446.64
2023-01-27,1600,0.1,13.27,639086,109035,144.69,14.47,745968,248818,1446.64
2023-01-27,1650,0.12,17.32,407854,95061,194.46,18.92,249538,85063,1446.64
2023-01-27,1700,0.05,14.48,681323,220482,243.94,16.48,314937,89490,1446.64
2023-01-27,1750,0.05,14.58,326838,86666,293.66,16.98,240736,73035,1446.64
2023-01-27,1800,0.05,18.06,180399,59555,343.38,20.86,116288,33631,1446.64
2023-01-27,1850,0.05,17.87,86837,25695,393.1,21.07,140135,47603,1446.64
2023-01-27,1900,0.05,12.29,17505,4040,442.82,15.89,48437,16159,1446.64
2023-01-27,1950,0.05,14.01,26303,8821,492.54,18.01,23127,5174,1446.64
2023-02-03,950,499.66,17.51,21832,4721,0.05,22.51,29551,6170,1444.57
2023-02-03,1000,449.93,17.24,63083,16048,0.05,21.74,67109,19598,1444.57
2023-02-03,1050,400.19,14.76,77137,25565,0.05,18.76,127177,41129,1444.57
2023-02-03,1100,350.46,18.64,240602,69473,0.05,22.14,109223,30366,1444.57
2023-02-03,1150,300.73,19.32,201478,64634,0.05,22.32,251767,67383,1444.57
2023-02-03,1200,251.0,14.0,234045,51124,0.05,16.5,367312,117030,1444.57
2023-02-03,1250,201.28,17.42,211772,35706,0.06,19.42,462607,146904,1444.57
