date,strike,CE_LTP,CE_IV,CE_OI,CE_Volume,PE_LTP,PE_IV,PE_OI,PE_Volume,spot
2023-01-06,17400,614.66,15.32,41376,7662,129.36,20.32,32916,10283,17880.67
2023-01-06,17450,640.74,20.34,57706,18926,207.42,24.84,49850,12591,17880.67
2023-01-06,17500,546.79,16.07,123246,36763,154.11,20.07,74903,20672,17880.67
2023-01-06,17550,566.03,19.96,102996,26123,220.52,23.46,135734,26646,17880.67
2023-01-06,17600,462.69,15.2,334120,62436,158.3,18.2,337128,51573,17880.67
2023-01-06,17650,452.75,16.83,400050,110056,192.74,19.33,367692,122597,17880.67
2023-01-06,17700,454.52,18.99,558977,165541,237.79,20.99,198515,40809,17880.67
2023-01-06,17750,414.75,18.38,839042,214298,240.27,19.88,748067,122905,17880.67
2023-01-06,17800,361.65,16.9,873412,161342,229.11,17.9,584825,124303,17880.67
2023-01-06,17850,274.26,13.29,506844,123498,183.45,13.79,1512166,265442,17880.67
2023-01-06,17900,267.92,14.55,605966,160686,218.73,14.55,713691,168045,17880.67
2023-01-06,17950,298.75,17.91,345439,107847,306.04,18.31,731822,182880,17880.67
2023-01-06,18000,265.63,17.35,437838,100365,329.4,18.15,508042,78465,17880.67
2023-01-06,18050,212.75,15.52,730308,173130,332.85,16.72,616143,152266,17880.67
2023-01-06,18100,195.24,15.71,312145,51213,371.48,17.31,394258,97648,17880.67
2023-01-06,18150,183.05,16.16,498721,105010,415.21,18.16,293750,44408,17880.67
2023-01-06,18200,177.21,16.94,150648,31767,465.1,19.34,182895,58190,17880.67
2023-01-06,18250,176.61,18.0,103429,22496,520.14,20.8,137091,42830,17880.67
2023-01-06,18300,145.09,16.99,78921,14011,543.19,20.19,145938,34277,17880.67
2023-01-06,18350,75.4,13.01,75653,11806,523.97,16.61,36306,9506,17880.67
2023-01-06,18400,84.29,14.57,35500,7883,588.15,18.57,25676,7140,17880.67
2023-01-13,17050,816.15,20.59,23891,4295,308.54,25.59,34886,10397,17534.48
2023-01-13,17100,706.2,16.56,87499,19611,235.97,21.06,90458,19512,17534.48
2023-01-13,17150,703.66,18.28,64760,22155,277.02,22.28,139961,36207,17534.48
2023-01-13,17200,674.22,18.48,170927,30596,288.79,21.98,133636,32394,17534.48
2023-01-13,17250,618.65,17.33,176280,44208,273.31,20.33,253701,71525,17534.48
2023-01-13,17300,546.71,15.37,246868,72820,240.98,17.87,265313,41618,17534.48
2023-01-13,17350,605.34,19.69,340005,113379,340.75,21.69,435687,72357,17534.48
2023-01-13,17400,555.42,18.73,421747,129448,330.12,20.23,464787,152954,17534.48
2023-01-13,17450,471.33,16.16,611359,93573,285.05,17.16,874823,192316,17534.48
2023-01-13,17500,464.66,17.16,550675,184749,317.37,17.66,702682,170911,17534.48
2023-01-13,17550,373.45,14.24,445096,78773,264.88,14.24,617499,203730,17534.48
2023-01-13,17600,356.08,14.65,592681,178924,306.02,15.05,345113,57871,17534.48
2023-01-13,17650,391.57,17.38,749115,133794,400.09,18.18,818741,229684,17534.48
2023-01-13,17700,324.58,15.45,484871,117243,391.67,16.65,657476,189559,17534.48
2023-01-13,17750,342.73,17.29,516516,134384,468.31,18.89,625797,121281,17534.48
2023-01-13,17800,286.74,15.75,565302,170309,470.61,17.75,269828,54747,17534.48
2023-01-13,17850,233.99,14.28,106489,25372,475.76,16.68,171780,57395,17534.48
2023-01-13,17900,274.41,17.04,220646,42474,574.47,19.84,179930,29351,17534.48
2023-01-13,17950,163.35,12.68,84824,25911,519.25,15.88,99848,19560,17534.48
2023-01-13,18000,187.13,14.63,26714,4952,601.02,18.23,40119,8168,17534.48
2023-01-13,18050,222.03,17.11,47076,11408,694.26,21.11,56198,12194,17534.48
2023-01-20,17650,802.75,19.12,66159,11842,286.53,24.12,36038,10505,18142.8
2023-01-20,17700,735.66,17.44,50043,7783,259.25,21.94,48861,14425,18142.8
2023-01-20,17750,762.22,20.51,130746,23863,329.68,24.51,80701,15540,18142.8
2023-01-20,17800,647.4,16.45,106910,36830,252.86,19.95,169608,42748,18142.8
2023-01-20,17850,653.6,18.38,196987,33794,300.85,21.38,83772,21976,18142.8
2023-01-20,17900,631.95,18.85,294523,101975,319.35,21.35,336728,52415,18142.8
2023-01-20,17950,507.59,14.44,410169,96868,233.46,16.44,641503,104453,18142.8
2023-01-20,18000,494.24,15.28,476878,143610,259.99,16.78,503836,124852,18142.8
2023-01-20,18050,532.15,18.35,417684,129981,337.29,19.35,234708,43955,18142.8
2023-01-20,18100,508.3,18.54,478335,91825,352.14,19.04,1187105,233324,18142.8
2023-01-20,18150,418.5,15.74,683267,150579,300.82,15.74,594541,178489,18142.8
2023-01-20,18200,448.54,18.23,710610,117852,389.57,18.63,525085,86984,18142.8
2023-01-20,18250,396.17,17.03,745101,152627,395.97,17.83,694542,122062,18142.8
2023-01-20,18300,378.33,17.31,522337,129796,436.9,18.51,459804,69704,18142.8
2023-01-20,18350,270.56,13.58,224754,45875,387.77,15.18,557978,92108,18142.8
2023-01-20,18400,343.45,17.77,216916,71526,519.32,19.77,176670,48113,18142.8
2023-01-20,18450,293.37,16.49,142281,29684,527.57,18.89,319912,104723,18142.8
2023-01-20,18500,229.62,14.51,178103,46436,521.55,17.31,180562,46517,18142.8
2023-01-20,18550,217.17,14.79,51884,11747,566.82,17.99,91618,28018,18142.8
2023-01-20,18600,162.44,13.02,73694,24791,568.19,16.62,35451,8047,18142.8
2023-01-20,18650,165.79,13.94,27540,9515,628.9,17.94,34356,11534,18142.8
2023-01-27,17600,741.16,18.99,22997,3833,243.33,23.99,32288,5429,18086.4
2023-01-27,17650,705.0,18.94,25609,3846,250.06,23.44,57532,18166,18086.4
2023-01-27,17700,681.79,19.58,39890,7113,269.77,23.58,139690,25514,18086.4
2023-01-27,17750,631.9,18.67,137899,35128,261.3,22.17,76125,25737,18086.4
2023-01-27,17800,604.02,18.93,175199,60605,275.15,21.93,184110,57765,18086.4
2023-01-27,17850,491.73,14.6,534953,116231,202.43,17.1,244423,47390,18086.4
2023-01-27,17900,450.05,14.11,298472,72389,201.99,16.11,402050,123307,18086.4
2023-01-27,17950,445.77,15.53,504360,125113,238.9,17.03,801731,159407,18086.4
2023-01-27,18000,484.06,18.97,610929,134052,317.7,19.97,506271,83134,18086.4
2023-01-27,18050,375.3,14.91,614261,164815,248.77,15.41,683281,203611,18086.4
2023-01-27,18100,399.24,17.46,668086,121237,312.45,17.46,1026285,303634,18086.4
2023-01-27,18150,313.34,14.49,183328,27734,284.39,14.89,731193,234960,18086.4
2023-01-27,18200,344.41,17.24,515132,141560,373.34,18.04,555121,188585,18086.4
2023-01-27,18250,240.33,13.27,639086,109035,327.06,14.47,745968,248818,18086.4
2023-01-27,18300,300.18,17.32,407854,95061,444.67,18.92,249538,85063,18086.4
2023-01-27,18350,221.8,14.48,681323,220482,423.63,16.48,314937,89490,18086.4
2023-01-27,18400,204.33,14.58,326838,86666,463.3,16.98,240736,73035,18086.4
2023-01-27,18450,253.81,18.06,180399,59555,570.48,20.86,116288,33631,18086.4
2023-01-27,18500,231.88,17.87,86837,25695,605.38,21.07,140135,47603,18086.4
2023-01-27,18550,111.95,12.29,17505,4040,537.87,15.89,48437,16159,18086.4
2023-01-27,18600,128.17,14.01,26303,8821,611.16,18.01,23127,5174,18086.4
2023-02-03,17600,718.23,17.51,21832,4721,208.33,22.51,29551,6170,18097.55
2023-02-03,17650,677.23,17.24,63083,16048,210.61,21.74,67109,19598,18097.55
2023-02-03,17700,601.14,14.76,77137,25565,174.76,18.76,127177,41129,18097.55
2023-02-03,17750,631.04,18.64,240602,69473,251.16,22.14,109223,30366,18097.55
2023-02-03,17800,610.21,19.32,201478,64634,272.48,22.32,251767,67383,18097.55
2023-02-03,17850,481.99,14.0,234045,51124,183.49,16.5,367312,117030,18097.55
2023-02-03,17900,511.76,17.42,211772,35706,256.01,19.42,462607,146904,18097.55
2023-02-03,17950,484.49,17.58,632270,115117,269.55,19.08,514469,115554,18097.55
2023-02-03,18000,460.73,17.87,292416,96458,286.22,18.87,705929,204934,18097.55
2023-02-03,18050,352.02,13.75,620427,152432,217.55,14.25,948072,312266,18097.55
2023-02-03,18100,349.9,15.06,288379,91572,255.41,15.06,1200008,236569,18097.55
