date,strike,CE_LTP,CE_IV,CE_OI,CE_Volume,PE_LTP,PE_IV,PE_OI,PE_Volume,spot
2023-01-06,1850,528.71,15.32,41376,7662,0.05,20.32,32916,10283,2371.63
2023-01-06,1900,478.9,20.34,57706,18926,0.05,24.84,49850,12591,2371.63
2023-01-06,1950,429.1,16.07,123246,36763,0.05,20.07,74903,20672,2371.63
2023-01-06,2000,379.29,19.96,102996,26123,0.05,23.46,135734,26646,2371.63
2023-01-06,2050,329.48,15.2,334120,62436,0.05,18.2,337128,51573,2371.63
2023-01-06,2100,279.69,16.83,400050,110056,0.08,19.33,367692,122597,2371.63
2023-01-06,2150,230.23,18.99,558977,165541,0.77,20.99,198515,40809,2371.63
2023-01-06,2200,181.33,18.38,839042,214298,1.96,19.88,748067,122905,2371.63
2023-01-06,2250,133.39,16.9,873412,161342,3.97,17.9,584825,124303,2371.63
2023-01-06,2300,85.32,13.29,506844,123498,5.48,13.79,1512166,265442,2371.63
2023-01-06,2350,49.62,14.55,605966,160686,19.0,14.55,713691,168045,2371.63
2023-01-06,2400,30.97,17.91,345439,107847,51.02,18.31,731822,182880,2371.63
2023-01-06,2450,13.82,17.35,437838,100365,84.23,18.15,508042,78465,2371.63
2023-01-06,2500,3.64,15.52,730308,173130,123.62,16.72,616143,152266,2371.63
2023-01-06,2550,1.09,15.71,312145,51213,170.45,17.31,394258,97648,2371.63
2023-01-06,2600,0.32,16.16,498721,105010,219.15,18.16,293750,44408,2371.63
2023-01-06,2650,0.1,16.94,150648,31767,268.57,19.34,182895,58190,2371.63
2023-01-06,2700,0.05,18.0,103429,22496,318.22,20.8,137091,42830,2371.63
2023-01-06,2750,0.05,16.99,78921,14011,367.88,20.19,145938,34277,2371.63
2023-01-06,2800,0.05,13.01,75653,11806,417.65,16.61,36306,9506,2371.63
2023-01-06,2850,0.05,14.57,35500,7883,467.46,18.57,25676,7140,2371.63
2023-01-13,1800,512.4,20.59,23891,4295,0.05,25.59,34886,10397,2299.67
2023-01-13,1850,462.75,16.56,87499,19611,0.05,21.06,90458,19512,2299.67
2023-01-13,1900,413.11,18.28,64760,22155,0.12,22.28,139961,36207,2299.67
2023-01-13,1950,363.52,18.48,170927,30596,0.34,21.98,133636,32394,2299.67
2023-01-13,2000,313.95,17.33,176280,44208,0.56,20.33,253701,71525,2299.67
2023-01-13,2050,264.38,15.37,246868,72820,0.7,17.87,265313,41618,2299.67
2023-01-13,2100,218.0,19.69,340005,113379,5.33,21.69,435687,72357,2299.67
2023-01-13,2150,171.59,18.73,421747,129448,8.77,20.23,464787,152954,2299.67
2023-01-13,2200,124.86,16.16,611359,93573,11.41,17.16,874823,192316,2299.67
2023-01-13,2250,88.95,17.16,550675,184749,24.63,17.66,702682,170911,2299.67
2023-01-13,2300,49.91,14.24,445096,78773,33.97,14.24,617499,203730,2299.67
2023-01-13,2350,28.33,14.65,592681,178924,63.17,15.05,345113,57871,2299.67
2023-01-13,2400,20.34,17.38,749115,133794,105.65,18.18,818741,229684,2299.67
2023-01-13,2450,7.32,15.45,484871,117243,142.29,16.65,657476,189559,2299.67
2023-01-13,2500,4.95,17.29,516516,134384,189.61,18.89,625797,121281,2299.67
2023-01-13,2550,1.27,15.75,565302,170309,234.78,17.75,269828,54747,2299.67
2023-01-13,2600,0.19,14.28,106489,25372,282.62,16.68,171780,57395,2299.67
2023-01-13,2650,0.28,17.04,220646,42474,332.51,19.84,179930,29351,2299.67
2023-01-13,2700,0.05,12.68,84824,25911,381.28,15.88,99848,19560,2299.67
2023-01-13,2750,0.05,14.63,26714,4952,430.95,18.23,40119,8168,2299.67
