date,strike,CE_LTP,CE_IV,CE_OI,CE_Volume,PE_LTP,PE_IV,PE_OI,PE_Volume,spot
2023-01-06,2750,524.59,15.32,41376,7662,0.05,20.32,32916,10283,3264.06
2023-01-06,2800,474.8,20.34,57706,18926,0.18,24.84,49850,12591,3264.06
2023-01-06,2850,424.97,16.07,123246,36763,0.06,20.07,74903,20672,3264.06
2023-01-06,2900,375.36,19.96,102996,26123,0.77,23.46,135734,26646,3264.06
2023-01-06,2950,325.4,15.2,334120,62436,0.29,18.2,337128,51573,3264.06
2023-01-06,3000,276.08,16.83,400050,110056,1.37,19.33,367692,122597,3264.06
2023-01-06,3050,228.9,18.99,558977,165541,4.98,20.99,198515,40809,3264.06
2023-01-06,3100,182.31,18.38,839042,214298,8.45,19.88,748067,122905,3264.06
2023-01-06,3150,136.74,16.9,873412,161342,12.5,17.9,584825,124303,3264.06
2023-01-06,3200,89.23,13.29,506844,123498,14.06,13.79,1512166,265442,3264.06
2023-01-06,3250,58.66,14.55,605966,160686,32.16,14.55,713691,168045,3264.06
2023-01-06,3300,43.92,17.91,345439,107847,68.43,18.31,731822,182880,3264.06
2023-01-06,3350,24.69,17.35,437838,100365,99.94,18.15,508042,78465,3264.06
2023-01-06,3400,9.72,15.52,730308,173130,134.95,16.72,616143,152266,3264.06
2023-01-06,3450,4.5,15.71,312145,51213,179.29,17.31,394258,97648,3264.06
2023-01-06,3500,2.1,16.16,498721,105010,226.27,18.16,293750,44408,3264.06
2023-01-06,3550,1.08,16.94,150648,31767,274.71,19.34,182895,58190,3264.06
2023-01-06,3600,0.64,18.0,103429,22496,323.85,20.8,137091,42830,3264.06
2023-01-06,3650,0.14,16.99,78921,14011,372.59,20.19,145938,34277,3264.06
2023-01-06,3700,0.05,13.01,75653,11806,421.81,16.61,36306,9506,3264.06
2023-01-06,3750,0.05,14.57,35500,7883,471.62,18.57,25676,7140,3264.06
2023-01-13,2650,542.31,20.59,23891,4295,0.86,25.59,34886,10397,3173.45
2023-01-13,2700,492.57,16.56,87499,19611,0.37,21.06,90458,19512,3173.45
2023-01-13,2750,443.16,18.28,64760,22155,1.28,22.28,139961,36207,3173.45
2023-01-13,2800,393.99,18.48,170927,30596,2.35,21.98,133636,32394,3173.45
2023-01-13,2850,344.74,17.33,176280,44208,2.98,20.33,253701,71525,3173.45
