date,pcr_oi,pcr_vol,total_ce_oi,total_pe_oi
2023-01-06,1.085,0.977,7212337,7827408
2023-01-13,1.114,1.089,6533341,7278263
2023-01-20,1.127,0.994,6204921,6993379
2023-01-27,1.093,1.279,6697260,7319266
2023-02-03,1.551,1.585,5548420,8606273
2023-02-10,0.991,0.825,7784340,7713590
2023-02-17,1.245,1.428,5776861,7192047
2023-02-24,1.215,1.393,5837794,7092779
2023-03-03,1.157,1.116,6972307,8063497
2023-03-10,1.131,1.071,7137775,8075186
2023-03-17,1.451,1.376,5228799,7588163
2023-03-24,1.213,1.204,5484866,6650785
2023-03-31,1.019,1.099,5866664,5979764
2023-04-07,1.096,1.068,5939185,6510398
2023-04-14,0.946,0.904,7118321,6733937
2023-04-21,0.981,1.054,8166186,8012888
2023-04-28,1.188,1.2,5477034,6505307
2023-05-05,1.077,0.988,5935196,6392665
2023-05-12,1.173,1.2,6299735,7389974
2023-05-19,1.21,1.206,6431168,7779890
2023-05-26,1.105,1.297,6903429,7626466
2023-06-02,1.098,1.215,6069703,6664884
2023-06-09,1.187,1.153,5723413,6793184
2023-06-16,1.225,1.244,6327543,7749460
2023-06-23,1.189,1.123,5730299,6811868
2023-06-30,1.021,0.99,6490556,6625967
2023-07-07,1.104,1.237,6178274,6822961
2023-07-14,1.381,1.605,6623194,9149027
2023-07-21,1.005,0.99,7083453,7116639
2023-07-28,1.137,1.275,6768237,7693278
2023-08-04,1.015,0.908,6055476,6144073
2023-08-11,1.251,1.256,6242254,7807730
2023-08-18,1.086,1.187,5883634,6390266
2023-08-25,1.424,1.314,7013459,9988132
2023-09-01,1.001,0.991,6767931,6775613
2023-09-08,1.234,1.393,5851008,7217484
2023-09-15,1.334,1.468,5749815,7671287
2023-09-22,1.095,1.075,6170107,6757028
2023-09-29,0.979,0.965,6480854,6346654
2023-10-06,1.355,1.18,5975634,8096691
2023-10-13,0.981,1.016,7255494,7120712
2023-10-20,1.056,0.99,6727429,7104839
2023-10-27,1.203,1.254,5771763,6946295
2023-11-03,1.137,1.067,6258759,7117875
2023-11-10,1.46,1.229,5183996,7566837
2023-11-17,1.105,1.145,6681290,7383837
2023-11-24,1.487,1.451,5619605,8354530
2023-12-01,0.986,0.905,6739711,6645595
2023-12-08,1.203,1.308,6582079,7917969
2023-12-15,1.292,1.393,5572912,7201777
2023-12-22,1.414,1.559,5814301,8221292
2023-12-29,1.139,1.071,6150999,7008290
2024-01-05,1.124,1.02,6559135,7369511
2024-01-12,1.128,1.253,6552696,7393063
2024-01-19,1.303,1.225,5767063,7515625
2024-01-26,1.168,1.46,7446204,8694732
2024-02-02,1.139,1.107,6138334,6994203
2024-02-09,1.415,1.573,5773272,8171512
2024-02-16,1.198,1.174,6270280,7512443
2024-02-23,0.972,0.945,6969130,6773404
2024-03-01,1.253,0.994,5996311,7511330
2024-03-08,1.183,1.101,6133101,7257650
2024-03-15,1.03,1.162,6353113,6545416
2024-03-22,0.934,0.933,7688672,7183916
2024-03-29,0.906,0.792,7923996,7182155
2024-04-05,1.163,0.986,7432197,8641312
2024-04-12,1.139,1.242,7165232,8159812
2024-04-19,1.34,1.299,6221298,8336637
2024-04-26,0.97,1.046,7573268,7343485
2024-05-03,0.974,1.033,6960295,6777911
2024-05-10,1.18,1.337,6374193,7523134
2024-05-17,0.95,0.79,6480384,6155139
2024-05-24,1.321,1.367,5341308,7053545
2024-05-31,1.204,1.108,6634359,7988919
2024-06-07,1.02,0.938,6574443,6707409
2024-06-14,1.015,0.911,7164515,7274742
2024-06-21,1.133,1.106,6093740,6904835
2024-06-28,1.31,1.135,6910882,9050189
2024-07-05,1.187,1.109,5992253,7111261
2024-07-12,0.982,0.921,7151945,7023456
2024-07-19,1.279,1.173,5676949,7259039
2024-07-26,0.968,1.184,6772814,6558160
2024-08-02,1.153,1.243,6551783,7554438
2024-08-09,1.077,1.094,5996308,6459515
2024-08-16,1.411,1.444,5422765,7651159
2024-08-23,1.183,1.345,5990038,7083720
2024-08-30,0.928,1.056,7671889,7118447
2024-09-06,1.124,1.126,7412758,8328888
2024-09-13,1.078,1.133,7018408,7565467
2024-09-20,1.296,1.355,6848789,8879442
2024-09-27,1.076,1.216,6706760,7217623
2024-10-04,1.219,1.276,6028726,7349844
2024-10-11,1.295,1.178,6644290,8603220
2024-10-18,1.255,1.384,6510548,8170769
2024-10-25,1.168,1.178,6179772,7219128
2024-11-01,1.075,1.214,6361808,6838220
2024-11-08,1.083,1.044,6017999,6519800
2024-11-15,1.66,1.641,5304272,8806252
2024-11-22,1.19,1.117,7179528,8540086
2024-11-29,1.037,0.825,7309697,7578434
2024-12-06,1.08,0.847,6418358,6929507
2024-12-13,0.998,1.051,6408523,6398895
2024-12-20,1.058,0.97,6929175,7329266
2024-12-27,1.081,1.099,6697428,7239492
2024-12-31,1.125,1.251,5784996,6510501
