Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
01-SEP-2025,24432.7,24635.6,24432.7,24625.05,229300,0
02-SEP-2025,24653.0,24756.1,24522.35,24579.6,271600,0
03-SEP-2025,24616.5,24737.05,24533.2,24715.05,340300,0
04-SEP-2025,24980.75,24980.75,24708.2,24734.3,314100,0
05-SEP-2025,24818.85,24832.35,24621.6,24741.0,210100,0
08-SEP-2025,24802.6,24885.5,24751.55,24773.15,213200,0
09-SEP-2025,24864.1,24891.8,24814.0,24868.6,226900,0
10-SEP-2025,24991.0,25035.7,24915.05,24973.1,244100,0
11-SEP-2025,24945.5,25037.3,24940.15,25005.5,224600,0
12-SEP-2025,25074.45,25139.45,25038.05,25114.0,225700,0
15-SEP-2025,25118.9,25138.45,25048.75,25069.2,185400,0
16-SEP-2025,25073.6,25261.4,25070.45,25239.1,240100,0
17-SEP-2025,25276.6,25346.5,25275.35,25330.25,268900,0
18-SEP-2025,25441.05,25448.95,25329.75,25423.6,272200,0
19-SEP-2025,25410.2,25428.75,25286.3,25327.05,380400,0
22-SEP-2025,25238.1,25331.7,25151.05,25202.35,254500,0
23-SEP-2025,25209.0,25261.9,25084.65,25169.5,299200,0
24-SEP-2025,25108.75,25149.85,25027.45,25056.9,244400,0
25-SEP-2025,25034.5,25092.7,24878.3,24890.85,342500,0
26-SEP-2025,24818.55,24868.6,24629.45,24654.7,291500,0
29-SEP-2025,24728.55,24791.3,24606.2,24634.9,394400,0
30-SEP-2025,24691.95,24731.8,24587.7,24611.1,303000,0
01-OCT-2025,24620.55,24867.95,24605.95,24836.3,308900,0
03-OCT-2025,24759.55,24904.8,24747.55,24894.25,365900,0
06-OCT-2025,24916.55,25095.95,24881.65,25077.65,268800,0
07-OCT-2025,25085.3,25220.9,25076.3,25108.3,288000,0
08-OCT-2025,25079.75,25192.5,25008.5,25046.15,227400,0
09-OCT-2025,25074.3,25199.25,25024.3,25181.8,286300,0
10-OCT-2025,25167.65,25330.75,25156.85,25285.35,232900,0
13-OCT-2025,25177.3,25267.3,25152.3,25227.35,234300,0
14-OCT-2025,25277.55,25310.35,25060.55,25145.5,292100,0
15-OCT-2025,25181.95,25365.15,25159.35,25323.55,289900,0
16-OCT-2025,25394.9,25625.4,25376.85,25585.3,372800,0
17-OCT-2025,25546.85,25781.5,25508.6,25709.85,422100,0
20-OCT-2025,25824.6,25926.2,25788.5,25843.15,301100,0
21-OCT-2025,25901.2,25934.35,25825.8,25868.6,42500,0
23-OCT-2025,26057.2,26104.2,25862.45,25891.4,448400,0
24-OCT-2025,25935.1,25944.15,25718.2,25795.15,284900,0
27-OCT-2025,25843.2,26005.95,25827.0,25966.05,266300,0
28-OCT-2025,25939.95,26041.7,25810.05,25936.2,395200,0
29-OCT-2025,25982.0,26097.85,25960.3,26053.9,321900,0
30-OCT-2025,25984.4,26032.05,25845.25,25877.85,257400,0
31-OCT-2025,25863.8,25953.75,25711.2,25722.1,334400,0
03-NOV-2025,25696.85,25803.1,25645.5,25763.35,23300,0
04-NOV-2025,25744.75,25787.4,25578.4,25597.65,305100,0
06-NOV-2025,25593.35,25679.15,25491.55,25509.7,371900,0
07-NOV-2025,25433.8,25551.25,25318.45,25492.3,305600,0
10-NOV-2025,25503.5,25653.45,25503.5,25574.35,243600,0
11-NOV-2025,25617.0,25715.8,25449.25,25694.95,297700,0
12-NOV-2025,25834.3,25934.55,25781.15,25875.8,312600,0
13-NOV-2025,25906.1,26010.7,25808.4,25879.15,385200,0
14-NOV-2025,25767.9,25940.2,25740.8,25910.05,518900,0
17-NOV-2025,25948.2,26024.2,25906.35,26013.45,281800,0
18-NOV-2025,26021.8,26029.85,25876.5,25910.05,280000,0
19-NOV-2025,25918.1,26074.65,25856.2,26052.65,250100,0
20-NOV-2025,26132.1,26246.65,26063.2,26192.15,240400,0
21-NOV-2025,26109.55,26179.2,26052.2,26068.15,235600,0
24-NOV-2025,26122.8,26142.8,25912.15,25959.5,464700,0
25-NOV-2025,25998.5,26032.6,25857.5,25884.8,260500,0
26-NOV-2025,25842.95,26215.15,25842.95,26205.3,275300,0
27-NOV-2025,26261.25,26310.45,26141.9,26215.55,240300,0
28-NOV-2025,26237.45,26280.75,26172.4,26202.95,202500,0
01-DEC-2025,26325.8,26325.8,26124.2,26175.75,213800,0
02-DEC-2025,26087.95,26154.6,25997.85,26032.2,254800,0
03-DEC-2025,26004.9,26066.45,25891.0,25986.0,265700,0
04-DEC-2025,25981.85,26098.25,25938.95,26033.75,248100,0
05-DEC-2025,25999.8,26202.6,25985.35,26186.45,249300,0
08-DEC-2025,26159.8,26178.7,25892.25,25960.55,320700,0
09-DEC-2025,25867.1,25923.65,25728.0,25839.65,276000,0
10-DEC-2025,25864.05,25947.65,25734.55,25758.0,207900,0
11-DEC-2025,25771.4,25922.8,25693.25,25898.55,206100,0
12-DEC-2025,25971.2,26057.6,25938.45,26046.95,216300,0
15-DEC-2025,25930.05,26047.15,25904.75,26027.3,181600,0
16-DEC-2025,25951.5,25980.75,25834.35,25860.1,264400,0
17-DEC-2025,25902.4,25929.15,25770.35,25818.55,206500,0
18-DEC-2025,25764.7,25902.35,25726.3,25815.55,197600,0
19-DEC-2025,25911.5,25993.35,25880.45,25966.4,382900,0
22-DEC-2025,26055.85,26180.7,26047.8,26172.4,253000,0
23-DEC-2025,26205.2,26233.55,26119.05,26177.15,216600,0
24-DEC-2025,26170.65,26236.4,26123.0,26142.1,188800,0
26-DEC-2025,26121.25,26144.2,26008.6,26042.3,142200,0
29-DEC-2025,26063.35,26106.8,25920.3,25942.1,234300,0
30-DEC-2025,25940.9,25976.75,25878.0,25938.85,396900,0
31-DEC-2025,25971.05,26187.95,25969.0,26129.6,246300,0
01-JAN-2026,26173.3,26197.55,26113.4,26146.55,425600,0
02-JAN-2026,26155.1,26340.0,26118.4,26328.55,357500,0
05-JAN-2026,26333.7,26373.2,26210.05,26250.3,338800,0
06-JAN-2026,26189.7,26273.95,26124.75,26178.7,383000,0
07-JAN-2026,26143.1,26187.15,26067.9,26140.75,338200,0
08-JAN-2026,26106.5,26133.2,25858.45,25876.85,328500,0
09-JAN-2026,25840.4,25940.6,25623.0,25683.3,348800,0
12-JAN-2026,25669.05,25813.15,25473.4,25790.25,275800,0
13-JAN-2026,25897.35,25899.8,25603.3,25732.3,339500,0
14-JAN-2026,25648.55,25791.75,25603.95,25665.6,393100,0
16-JAN-2026,25696.05,25873.5,25662.4,25694.35,434000,0
19-JAN-2026,25653.1,25653.3,25494.35,25585.5,443100,0
20-JAN-2026,25580.3,25585.0,25171.35,25232.5,409800,0
21-JAN-2026,25141.0,25300.95,24919.8,25157.5,395600,0
22-JAN-2026,25344.15,25435.75,25168.5,25289.9,486400,0
23-JAN-2026,25344.6,25347.95,25025.3,25048.65,393900,0
27-JAN-2026,25063.35,25246.65,24932.55,25175.4,618700,0
28-JAN-2026,25258.85,25372.1,25187.65,25342.75,574900,0
29-JAN-2026,25345.0,25458.15,25159.8,25418.9,582400,0
30-JAN-2026,25247.55,25370.7,25213.65,25320.65,508400,0
02-FEB-2026,24796.5,25108.1,24679.4,25088.4,449200,0
03-FEB-2026,26308.05,26341.2,25641.3,25727.55,637300,0
04-FEB-2026,25675.05,25818.55,25563.95,25776.0,429800,0
05-FEB-2026,25755.9,25757.65,25579.5,25642.8,343800,0
06-FEB-2026,25605.8,25703.95,25491.9,25693.7,375500,0
09-FEB-2026,25888.7,25922.25,25780.9,25867.3,359400,0
10-FEB-2026,25922.65,25989.45,25870.45,25935.15,460900,0
11-FEB-2026,25997.45,26009.4,25899.8,25953.85,331400,0
12-FEB-2026,25906.7,25906.7,25752.4,25807.2,419400,0
13-FEB-2026,25571.15,25630.35,25444.3,25471.1,453500,0
16-FEB-2026,25423.6,25697.0,25372.7,25682.75,275800,0
17-FEB-2026,25637.95,25764.4,25570.3,25725.4,344100,0
18-FEB-2026,25752.65,25828.05,25645.15,25819.35,310200,0
19-FEB-2026,25873.35,25885.3,25388.75,25454.35,298200,0
20-FEB-2026,25406.55,25663.55,25379.75,25571.25,296600,0
23-FEB-2026,25678.4,25771.45,25609.35,25713.0,313700,0
24-FEB-2026,25641.8,25641.8,25327.6,25424.65,439100,0
25-FEB-2026,25512.6,25652.6,25428.2,25482.5,414200,0
26-FEB-2026,25556.3,25572.95,25400.95,25496.55,405200,0
27-FEB-2026,25459.85,25476.4,25141.3,25178.65,438900,0
02-MAR-2026,24659.25,24989.35,24603.5,24865.7,519200,0
04-MAR-2026,24388.8,24602.45,24305.4,24480.5,599000,0
05-MAR-2026,24615.95,24854.2,24529.4,24765.9,504300,0
06-MAR-2026,24656.4,24700.9,24415.75,24450.45,433400,0
09-MAR-2026,23868.05,24078.15,23697.8,24028.05,526900,0
10-MAR-2026,24280.8,24303.8,24079.95,24261.6,444300,0
11-MAR-2026,24231.85,24299.0,23834.3,23866.85,407400,0
12-MAR-2026,23674.85,23833.15,23556.3,23639.15,501000,0
13-MAR-2026,23462.5,23492.4,23112.0,23151.1,519800,0
16-MAR-2026,23116.1,23502.0,22955.25,23408.8,540300,0
17-MAR-2026,23493.2,23656.8,23346.6,23581.15,458800,0
18-MAR-2026,23632.9,23862.25,23618.45,23777.8,382900,0
19-MAR-2026,23197.75,23378.7,22930.35,23002.15,550100,0
