CALLS,,,,,,,,,,,,,,,,,,,,,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4810,-65,4,121.78,2135.0,0,0,0,0,0,22000.0,0,0,0,0,0,0.25,57.34,145975,-1021995,2563080,
,0,0,0,0.0,2313.35,0,0,0,0,0,22050.0,0,0,0,0,0,0.25,56.02,12935,8320,155415,
,65,0,1,0.0,1951.0,0,0,0,0,0,22100.0,0,0,0,0,0,0.3,55.57,109819,-41600,1456910,
,0,0,0,198.48,2218.8,0,0,0,0,0,22150.0,0,0,0,0,0,0.3,54.24,6455,-50440,77545,
,0,0,0,196.09,2171.8,0,0,0,0,0,22200.0,0,0,0,0,0,0.35,53.64,30567,-357045,222690,
,0,0,0,193.74,2125.05,0,0,0,0,0,22250.0,0,0,0,0,0,0.4,52.93,12257,45565,158145,
,0,0,0,191.44,2078.55,0,0,0,0,0,22300.0,0,0,0,0,0,0.4,51.56,16397,-56485,368615,
,0,0,0,189.17,2032.25,0,0,0,0,0,22350.0,0,0,0,0,0,0.4,50.2,12107,-19435,195390,
,0,0,0,186.95,1986.25,0,0,0,0,0,22400.0,0,0,0,0,0,0.45,49.38,26097,6045,400855,
,0,0,0,184.77,1940.55,0,0,0,0,0,22450.0,0,0,0,0,0,0.45,48.0,27820,64610,211120,
,8060,-3835,136,78.02,1602.5,0,0,0,0,0,22500.0,0,0,0,0,0,0.6,47.96,219814,-2521350,4091490,
,0,0,0,180.54,1849.95,0,0,0,0,0,22550.0,0,0,0,0,0,0.55,46.14,23192,-14300,135265,
,0,0,0,178.5,1805.15,0,0,0,0,0,22600.0,0,0,0,0,0,0.55,44.74,60386,-219960,375635,
,0,0,0,176.49,1760.65,0,0,0,0,0,22650.0,0,0,0,0,0,0.6,43.72,23890,4355,157820,
,0,0,0,174.55,1716.55,0,0,0,0,0,22700.0,0,0,0,0,0,0.55,41.93,63458,-520130,518505,
,0,0,0,172.64,1672.8,0,0,0,0,0,22750.0,0,0,0,0,0,0.65,41.23,26298,45240,161720,
,0,0,0,170.78,1629.4,0,0,0,0,0,22800.0,0,0,0,0,0,0.65,39.8,176686,970710,1803555,
,0,0,0,168.97,1586.45,0,0,0,0,0,22850.0,0,0,0,0,0,0.6,38.05,34587,73450,217945,
