CALLS,,,,,,,,,,,,,,,,,,,,,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2795,-1105,45,69.14,2159.3,0,0,0,0,0,22000.0,0,0,0,0,0,0.05,52.24,66285,-534885,1403870,
,0,0,0,115.84,2148.45,0,0,0,0,0,22050.0,0,0,0,0,0,0.05,51.06,3326,14170,88855,
,0,0,0,115.11,2100.9,0,0,0,0,0,22100.0,0,0,0,0,0,0.05,49.87,16352,-40430,194480,
,0,0,0,114.44,2053.6,0,0,0,0,0,22150.0,0,0,0,0,0,0.05,48.69,2519,38415,99320,
,0,0,0,113.8,2006.5,0,0,0,0,0,22200.0,0,0,0,0,0,0.05,47.51,18638,-5850,256880,
,0,0,0,113.16,1959.6,0,0,0,0,0,22250.0,0,0,0,0,0,0.05,46.33,1601,34710,62010,
,0,0,0,112.56,1912.95,0,0,0,0,0,22300.0,0,0,0,0,0,0.05,45.15,8044,-89570,131690,
,0,0,0,112.01,1866.6,0,0,0,0,0,22350.0,0,0,0,0,0,0.05,43.97,4393,-30160,103870,
,0,0,0,111.5,1820.55,0,0,0,0,0,22400.0,0,0,0,0,0,0.05,42.8,9427,-49790,145210,
,0,0,0,110.99,1774.75,0,0,0,0,0,22450.0,0,0,0,0,0,0.05,41.62,3314,-27365,78585,
,5330,-1040,78,105.01,1717.2,0,0,0,0,0,22500.0,0,0,0,0,0,0.05,40.44,76892,-1190475,966615,
,0,0,0,110.08,1684.2,0,0,0,0,0,22550.0,0,0,0,0,0,0.05,39.27,5561,75790,196105,
,0,0,0,109.65,1639.4,0,0,0,0,0,22600.0,0,0,0,0,0,0.05,38.09,9846,-41210,268970,
,0,0,0,109.26,1595.05,0,0,0,0,0,22650.0,0,0,0,0,0,0.05,36.92,12052,-38480,125190,
,0,0,0,108.89,1551.05,0,0,0,0,0,22700.0,0,0,0,0,0,0.05,35.74,25690,-206960,333385,
,0,0,0,108.52,1507.45,0,0,0,0,0,22750.0,0,0,0,0,0,0.05,34.57,13719,95940,247780,
,0,0,0,108.19,1464.3,0,0,0,0,0,22800.0,0,0,0,0,0,0.05,33.39,56800,-221390,618670,
,0,0,0,107.87,1421.6,0,0,0,0,0,22850.0,0,0,0,0,0,0.05,32.22,12853,-109265,172900,
,0,0,0,107.57,1379.35,0,0,0,0,0,22900.0,0,0,0,0,0,0.05,31.04,24803,19435,452270,
,845,0,2,82.09,1265.6,0,0,0,0,0,22950.0,0,0,0,0,0,0.05,29.86,14636,-32890,163085,
,17290,-5200,223,0.0,1157.4,0,0,0,0,0,23000.0,0,0,0,0,0,0.05,28.69,230883,-940485,2823990,
,65,0,1,89.56,1200.0,0,0,0,0,0,23050.0,0,0,0,0,0,0.05,27.51,30479,-37440,261235,
,195,0,0,102.12,1200.0,0,0,0,0,0,23100.0,0,0,0,0,0,0.05,26.33,111483,102700,1216800,
,390,0,0,114.92,1208.35,0,0,0,0,0,23150.0,0,0,0,0,0,0.05,25.15,72726,444990,719225,
,1495,-65,9,60.97,995.0,0,0,0,0,0,23200.0,0,0,0,0,0,0.05,23.97,176357,-999570,1167725,
,65,0,0,113.83,1130.0,0,0,0,0,0,23250.0,0,0,0,0,0,0.05,22.79,126610,424385,865280,
,1820,-65,20,55.61,893.7,0,0,0,0,0,23300.0,0,0,0,0,0,0.05,21.61,286071,-1557725,1481220,
,975,65,5,59.18,858.85,0,0,0,0,0,23350.0,0,0,0,0,0,0.05,20.43,149099,-13390,1052415,
,8840,780,123,0.0,756.65,0,0,0,0,0,23400.0,0,0,0,0,0,0.05,19.24,284661,220935,2349360,
,65,0,0,115.1,994.45,0,0,0,0,0,23450.0,0,0,0,0,0,0.05,18.05,273291,1312415,2489435,
,34125,-28015,1952,0.0,654.15,0,0,0,0,0,23500.0,0,0,0,0,0,0.05,16.86,895187,-1621555,5012280,
,2015,975,229,0.0,604.2,0,0,0,0,0,23550.0,0,0,0,0,0,0.05,15.66,254362,572845,1581060,
,21385,2990,734,0.0,556.2,0,0,0,0,0,23600.0,0,0,0,0,0,0.05,14.46,579652,-752050,2639585,
,12805,130,576,0.0,505.95,0,0,0,0,0,23650.0,0,0,0,0,0,0.05,13.25,606656,-39455,1378845,
,48945,15860,2622,0.0,454.55,0,0,0,0,0,23700.0,0,0,0,0,0,0.05,12.04,1179465,-64025,3462745,
,42835,19240,2331,0.0,404.05,0,0,0,0,0,23750.0,0,0,0,0,0,0.05,10.82,672812,721760,2209675,
,60840,2340,8451,0.0,354.35,0,0,0,0,0,23800.0,0,0,0,0,0,0.05,9.59,1260142,-1643655,4298580,
,43160,5395,8469,0.0,304.3,0,0,0,0,0,23850.0,0,0,0,0,0,0.05,8.36,732048,-56745,2307175,
,67470,-16640,38514,0.0,254.35,0,0,0,0,0,23900.0,0,0,0,0,0,0.05,7.11,1670345,-1136330,5390385,
,73320,18005,47476,0.0,204.5,0,0,0,0,0,23950.0,0,0,0,0,0,0.05,5.84,1555351,539500,4207645,
,621270,220350,491657,0.0,154.6,0,0,0,0,0,24000.0,0,0,0,0,0,0.05,4.55,4994715,-947700,10418850,
,414440,339430,559295,0.0,104.7,0,0,0,0,0,24050.0,0,0,0,0,0,0.05,3.24,6124761,3386305,6997055,
,2660645,2181920,3528948,0.0,54.8,0,0,0,0,0,24100.0,0,0,0,0,0,0.05,1.86,16406269,8028605,15151760,
,14118910,13732615,8831451,0.0,4.85,0,0,0,0,0,24150.0,0,0,0,0,0,0.05,0.0,28686858,15631200,21846825,
,29868735,28135055,27670744,1.38,0.05,0,0,0,0,0,24200.0,0,0,0,0,0,45.0,0.0,37657676,1822860,12225460,
,21200595,19346275,29709972,2.77,0.05,0,0,0,0,0,24250.0,0,0,0,0,0,94.85,0.0,16150817,-3315715,4943120,
,17935970,11700130,20096526,4.09,0.05,0,0,0,0,0,24300.0,0,0,0,0,0,144.85,0.0,7315954,-10194795,3295695,
,8995740,1879280,9234080,5.37,0.05,0,0,0,0,0,24350.0,0,0,0,0,0,195.2,10.0,2065696,-4731350,1037205,
,9575735,-886730,6110002,6.62,0.05,0,0,0,0,0,24400.0,0,0,0,0,0,244.7,0.0,1161488,-3223350,1577745,
,5659160,-321490,3162088,7.84,0.05,0,0,0,0,0,24450.0,0,0,0,0,0,295.35,14.02,224695,-725660,978510,
,9965995,-2555800,3770658,9.05,0.05,0,0,0,0,0,24500.0,0,0,0,0,0,345.65,16.14,217414,-1455935,1201395,
,4823455,-1347840,1745252,10.24,0.05,0,0,0,0,0,24550.0,0,0,0,0,0,395.65,18.0,35228,-168350,181740,
,7910825,-2398045,2080759,11.42,0.05,0,0,0,0,0,24600.0,0,0,0,0,0,445.75,19.92,42552,-354445,920010,
,3749720,-1520220,1047269,12.59,0.05,0,0,0,0,0,24650.0,0,0,0,0,0,494.5,0.0,7269,-30030,136890,
,8022950,-1817790,1954330,13.74,0.05,0,0,0,0,0,24700.0,0,0,0,0,0,546.3,24.02,14956,-50895,424580,
,4186650,-383240,1384964,14.89,0.05,0,0,0,0,0,24750.0,0,0,0,0,0,596.2,25.7,3758,-25155,73710,
,5962515,-2586805,1515705,16.02,0.05,0,0,0,0,0,24800.0,0,0,0,0,0,644.5,0.0,8518,-29055,235235,
,2767180,-172315,583202,17.15,0.05,0,0,0,0,0,24850.0,0,0,0,0,0,694.45,0.0,926,6630,39520,
,5304195,220675,849481,18.27,0.05,0,0,0,0,0,24900.0,0,0,0,0,0,744.45,0.0,2561,-19435,98410,
,3969875,2366780,557806,19.38,0.05,0,0,0,0,0,24950.0,0,0,0,0,0,796.7,33.15,644,4485,30680,
,9245990,528320,1357790,20.49,0.05,0,0,0,0,0,25000.0,0,0,0,0,0,844.4,0.0,6278,-104390,113555,
,2227745,605540,425328,21.58,0.05,0,0,0,0,0,25050.0,0,0,0,0,0,896.85,36.71,328,130,28470,
,2816450,-660660,468881,22.68,0.05,0,0,0,0,0,25100.0,0,0,0,0,0,944.25,0.0,802,-7995,45370,
,1543880,-135265,190808,23.76,0.05,0,0,0,0,0,25150.0,0,0,0,0,0,928.1,0.0,46,195,17810,
,3350945,-1217515,451893,24.84,0.05,0,0,0,0,0,25200.0,0,0,0,0,0,1047.15,42.07,613,-3185,47060,
,1607580,-163345,153635,25.92,0.05,0,0,0,0,0,25250.0,0,0,0,0,0,1097.75,44.44,24,-325,15015,
,2875730,-857415,255465,26.99,0.05,0,0,0,0,0,25300.0,0,0,0,0,0,1158.05,55.19,164,65,31590,
,1837160,697125,117598,28.05,0.05,0,0,0,0,0,25350.0,0,0,0,0,0,1117.6,0.0,12,-130,5980,
,2446470,-793975,233445,29.11,0.05,0,0,0,0,0,25400.0,0,0,0,0,0,1247.5,49.04,128,-1820,13780,
,958555,43420,70566,30.16,0.05,0,0,0,0,0,25450.0,0,0,0,0,0,1227.35,0.0,2,-65,455,
,5048355,-500825,410301,31.21,0.05,0,0,0,0,0,25500.0,0,0,0,0,0,1344.25,0.0,1286,-38740,62790,
,483795,-33280,55031,32.26,0.05,0,0,0,0,0,25550.0,0,0,0,0,0,1400.0,56.96,1,0,260,
,2068235,-152750,186707,33.3,0.05,0,0,0,0,0,25600.0,0,0,0,0,0,1449.45,57.96,4,-195,1365,
,354575,-179335,25903,34.33,0.05,0,0,0,0,0,25650.0,0,0,0,0,0,1178.3,0.0,0,0,520,
,786955,-543790,57639,35.36,0.05,0,0,0,0,0,25700.0,0,0,0,0,0,1490.0,0.0,4,0,1040,
,536250,-139295,43490,36.39,0.05,0,0,0,0,0,25750.0,0,0,0,0,0,1601.0,64.66,5,130,195,
,672230,-120250,41415,37.41,0.05,0,0,0,0,0,25800.0,0,0,0,0,0,1629.45,0.0,13,65,910,
,369850,-111085,27294,38.43,0.05,0,0,0,0,0,25850.0,0,0,0,0,0,1610.95,0.0,4,0,260,
,790140,-180960,34596,39.45,0.05,0,0,0,0,0,25900.0,0,0,0,0,0,1515.7,0.0,0,0,585,
,253760,39650,9929,40.46,0.05,0,0,0,0,0,25950.0,0,0,0,0,0,1804.45,74.92,0,0,0,
,1698450,-1039415,114644,41.47,0.05,0,0,0,0,0,26000.0,0,0,0,0,0,1846.25,65.6,949,-37570,35685,
,271960,109655,10329,42.47,0.05,0,0,0,0,0,26050.0,0,0,0,0,0,1895.7,65.98,0,0,0,
,282555,80665,13424,43.47,0.05,0,0,0,0,0,26100.0,0,0,0,0,0,1856.0,0.0,2,0,260,
