CALLS,,,,,,,,,,,,,,,,,,,,,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,10595,-3770,132,0.0,2885.0,0,0,0,0,0,21100.0,0,0,0,0,0,0.05,70.21,82777,-1032460,1287195,
,130,0,0,0.0,2502.7,0,0,0,0,0,21150.0,0,0,0,0,0,0.05,69.0,6969,-30550,122070,
,195,0,0,0.0,2521.1,0,0,0,0,0,21200.0,0,0,0,0,0,0.05,67.79,60634,-155480,501085,
,65,0,0,133.68,2765.0,0,0,0,0,0,21250.0,0,0,0,0,0,0.1,69.91,3898,-8905,51675,
,2015,0,1,143.6,2729.55,0,0,0,0,0,21300.0,0,0,0,0,0,0.05,65.37,54633,-71045,678145,
,0,0,0,0.0,3009.55,0,0,0,0,0,21350.0,0,0,0,0,0,0.05,64.16,6536,-35165,133510,
,0,0,0,0.0,2963.9,0,0,0,0,0,21400.0,0,0,0,0,0,0.05,62.95,28139,-139880,212875,
,0,0,0,0.0,2918.5,0,0,0,0,0,21450.0,0,0,0,0,0,0.05,61.75,1831,-8840,27625,
,139555,-14560,973,93.61,2493.3,0,0,0,0,0,21500.0,0,0,0,0,0,0.05,60.54,59942,-630045,821535,
,0,0,0,0.0,2828.2,0,0,0,0,0,21550.0,0,0,0,0,0,0.05,59.34,3490,-15210,40755,
,0,0,0,0.0,2783.4,0,0,0,0,0,21600.0,0,0,0,0,0,0.05,58.14,12530,-87360,150800,
,65,0,0,0.0,1938.2,0,0,0,0,0,21650.0,0,0,0,0,0,0.05,56.94,6532,-26065,63830,
,0,0,0,104.73,2305.0,0,0,0,0,0,21700.0,0,0,0,0,0,0.05,55.75,11620,-122980,112840,
,0,0,0,191.59,2437.6,0,0,0,0,0,21750.0,0,0,0,0,0,0.05,54.55,3015,10595,57460,
,65,0,1,0.0,2187.6,0,0,0,0,0,21800.0,0,0,0,0,0,0.05,53.36,42474,-549640,396890,
,65,0,0,0.0,2031.2,0,0,0,0,0,21850.0,0,0,0,0,0,0.05,52.16,7256,-8775,63765,
,195,-325,7,73.5,2091.1,0,0,0,0,0,21900.0,0,0,0,0,0,0.05,50.97,8921,-30615,136240,
,455,0,0,0.0,1875.9,0,0,0,0,0,21950.0,0,0,0,0,0,0.05,49.78,4894,-36335,45045,
,289965,-41470,1892,0.0,1984.95,0,0,0,0,0,22000.0,0,0,0,0,0,0.05,48.59,103288,-1230255,1685970,
,65,0,0,0.0,1825.05,0,0,0,0,0,22050.0,0,0,0,0,0,0.05,47.4,7796,-15080,74685,
,195,0,1,0.0,1870.0,0,0,0,0,0,22100.0,0,0,0,0,0,0.05,46.21,28229,-399815,192790,
,1560,0,0,117.22,1902.9,0,0,0,0,0,22150.0,0,0,0,0,0,0.05,45.02,8646,43615,103285,
,325,0,2,59.47,1790.0,0,0,0,0,0,22200.0,0,0,0,0,0,0.05,43.83,26706,-326105,345475,
