TIME,CREATED-AT,PCR,CHG IN OI PCR,VPCR
09:15:00,2026-08-31T00:00:00,0.776,0,0
09:16:05,2026-08-31T00:00:00,0.7554,-0.0206,0
09:17:10,2026-08-31T00:00:00,0.7447,-0.0107,0
09:18:15,2026-08-31T00:00:00,0.7315,-0.0132,0
09:19:20,2026-08-31T00:00:00,0.7155,-0.016,0
09:20:26,2026-08-31T00:00:00,0.7201,0.0046,0
09:21:31,2026-08-31T00:00:00,0.7328,0.0127,0
09:22:36,2026-08-31T00:00:00,0.7396,0.0068,0
09:23:41,2026-08-31T00:00:00,0.7378,-0.0018,0
09:24:46,2026-08-31T00:00:00,0.7344,-0.0034,0
09:25:52,2026-08-31T00:00:00,0.7126,-0.0218,0
09:26:57,2026-08-31T00:00:00,0.7015,-0.0111,0
09:28:02,2026-08-31T00:00:00,0.6919,-0.0096,0
09:29:07,2026-08-31T00:00:00,0.6866,-0.0053,0
09:30:13,2026-08-31T00:00:00,0.6804,-0.0062,0
09:31:18,2026-08-31T00:00:00,0.6852,0.0048,0
09:32:23,2026-08-31T00:00:00,0.6826,-0.0026,0
09:33:28,2026-08-31T00:00:00,0.6865,0.0039,0
09:34:33,2026-08-31T00:00:00,0.6898,0.0033,0
09:35:39,2026-08-31T00:00:00,0.694,0.0042,0
09:36:44,2026-08-31T00:00:00,0.6957,0.0017,0
09:37:49,2026-08-31T00:00:00,0.6941,-0.0016,0
09:38:54,2026-08-31T00:00:00,0.6974,0.0033,0
09:40:00,2026-08-31T00:00:00,0.7011,0.0037,0
09:41:05,2026-08-31T00:00:00,0.7003,-0.0008,0
09:42:10,2026-08-31T00:00:00,0.6916,-0.0087,0
09:43:15,2026-08-31T00:00:00,0.6728,-0.0188,0
09:44:20,2026-08-31T00:00:00,0.6669,-0.0059,0
09:45:26,2026-08-31T00:00:00,0.6569,-0.01,0
09:46:31,2026-08-31T00:00:00,0.6526,-0.0043,0
09:47:36,2026-08-31T00:00:00,0.6536,0.001,0
09:48:41,2026-08-31T00:00:00,0.6573,0.0037,0
09:49:46,2026-08-31T00:00:00,0.6582,0.0009,0
09:50:52,2026-08-31T00:00:00,0.6571,-0.0011,0
09:51:57,2026-08-31T00:00:00,0.656,-0.0011,0
